TBL_NM,PRD_DE,TBL_ID,ITM_NM,ITM_NM_ENG,ITM_ID,UNIT_NM,ORG_ID,UNIT_NM_ENG,C1_OBJ_NM,C1_OBJ_NM_ENG,DT,PRD_SE,C1,C1_NM,C1_NM_ENG
시군별 논밭별 경지면적,2014,DT_1EB002,경지면적: 계,Area of cultivated Land : Total,T10,헥타르,101,Hectare,행정구역별,By administrative divisions,4058,A,32400,고성군,Goseong-gun
시군별 논밭별 경지면적,2014,DT_1EB002,경지면적: 계,Area of cultivated Land : Total,T10,헥타르,101,Hectare,행정구역별,By administrative divisions,3295,A,32410,양양군,Yangyang-gun
시군별 논밭별 경지면적,2014,DT_1EB002,경지면적: 계,Area of cultivated Land : Total,T10,헥타르,101,Hectare,행정구역별,By administrative divisions,112097,A,33,충북,Chungcheongbuk-do
시군별 논밭별 경지면적,2014,DT_1EB002,경지면적: 계,Area of cultivated Land : Total,T10,헥타르,101,Hectare,행정구역별,By administrative divisions,3519,A,33010,청주시,Cheongju-si
시군별 논밭별 경지면적,2014,DT_1EB002,경지면적: 계,Area of cultivated Land : Total,T10,헥타르,101,Hectare,행정구역별,By administrative divisions,14869,A,33020,충주시,Chungju-si
시군별 논밭별 경지면적,2014,DT_1EB002,경지면적: 계,Area of cultivated Land : Total,T10,헥타르,101,Hectare,행정구역별,By administrative divisions,10672,A,33030,제천시,Jecheon-si
시군별 논밭별 경지면적,2014,DT_1EB002,경지면적: 계,Area of cultivated Land : Total,T10,헥타르,101,Hectare,행정구역별,By administrative divisions,14861,A,33310,청원군,Cheongwon-gun
시군별 논밭별 경지면적,2014,DT_1EB002,경지면적: 계,Area of cultivated Land : Total,T10,헥타르,101,Hectare,행정구역별,By administrative divisions,8989,A,33320,보은군,Boeun-gun
시군별 논밭별 경지면적,2014,DT_1EB002,경지면적: 계,Area of cultivated Land : Total,T10,헥타르,101,Hectare,행정구역별,By administrative divisions,8058,A,33330,옥천군,Okcheon-gun
시군별 논밭별 경지면적,2014,DT_1EB002,경지면적: 계,Area of cultivated Land : Total,T10,헥타르,101,Hectare,행정구역별,By administrative divisions,9620,A,33340,영동군,Yeongdong-gun
시군별 논밭별 경지면적,2014,DT_1EB002,경지면적: 계,Area of cultivated Land : Total,T10,헥타르,101,Hectare,행정구역별,By administrative divisions,8318,A,33350,진천군,Jincheon-gun
시군별 논밭별 경지면적,2014,DT_1EB002,경지면적: 계,Area of cultivated Land : Total,T10,헥타르,101,Hectare,행정구역별,By administrative divisions,11728,A,33360,괴산군,Goesan-gun
시군별 논밭별 경지면적,2014,DT_1EB002,경지면적: 계,Area of cultivated Land : Total,T10,헥타르,101,Hectare,행정구역별,By administrative divisions,13602,A,33370,음성군,Eumseong-gun
시군별 논밭별 경지면적,2014,DT_1EB002,경지면적: 계,Area of cultivated Land : Total,T10,헥타르,101,Hectare,행정구역별,By administrative divisions,5682,A,33380,단양군,Danyang-gun
시군별 논밭별 경지면적,2014,DT_1EB002,경지면적: 계,Area of cultivated Land : Total,T10,헥타르,101,Hectare,행정구역별,By administrative divisions,2178,A,33390,증평군,Jeungpyeong-gun
시군별 논밭별 경지면적,2014,DT_1EB002,경지면적: 계,Area of cultivated Land : Total,T10,헥타르,101,Hectare,행정구역별,By administrative divisions,219215,A,34,충남,Chungcheongnam-do
시군별 논밭별 경지면적,2014,DT_1EB002,경지면적: 계,Area of cultivated Land : Total,T10,헥타르,101,Hectare,행정구역별,By administrative divisions,13623,A,34010,천안시,Cheonan-si
시군별 논밭별 경지면적,2014,DT_1EB002,경지면적: 계,Area of cultivated Land : Total,T10,헥타르,101,Hectare,행정구역별,By administrative divisions,10580,A,34020,공주시,Gongju-si
시군별 논밭별 경지면적,2014,DT_1EB002,경지면적: 계,Area of cultivated Land : Total,T10,헥타르,101,Hectare,행정구역별,By administrative divisions,13167,A,34030,보령시,Boryeong-si
시군별 논밭별 경지면적,2014,DT_1EB002,경지면적: 계,Area of cultivated Land : Total,T10,헥타르,101,Hectare,행정구역별,By administrative divisions,15828,A,34040,아산시,Asan-si
시군별 논밭별 경지면적,2014,DT_1EB002,경지면적: 계,Area of cultivated Land : Total,T10,헥타르,101,Hectare,행정구역별,By administrative divisions,27077,A,34050,서산시,Seosan-si
시군별 논밭별 경지면적,2014,DT_1EB002,경지면적: 계,Area of cultivated Land : Total,T10,헥타르,101,Hectare,행정구역별,By administrative divisions,19251,A,34060,논산시,Nonsan-si
시군별 논밭별 경지면적,2014,DT_1EB002,경지면적: 계,Area of cultivated Land : Total,T10,헥타르,101,Hectare,행정구역별,By administrative divisions,432,A,34070,계룡시,Gyeryong-si
시군별 논밭별 경지면적,2014,DT_1EB002,경지면적: 계,Area of cultivated Land : Total,T10,헥타르,101,Hectare,행정구역별,By administrative divisions,25499,A,34080,당진시,Dangjin-si
시군별 논밭별 경지면적,2014,DT_1EB002,경지면적: 계,Area of cultivated Land : Total,T10,헥타르,101,Hectare,행정구역별,By administrative divisions,7876,A,34310,금산군,Geumsan-gun
시군별 논밭별 경지면적,2014,DT_1EB002,경지면적: 계,Area of cultivated Land : Total,T10,헥타르,101,Hectare,행정구역별,By administrative divisions,16191,A,34330,부여군,Buyeo-gun
