지역,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
정읍시,23185,23229.0,23378.0,23446.5626660336,23068.0,22831.1186,22603.9111,22382.1092,22248.0668,21454.6745
남원시,15698,15536.0,15262.0,15242.4032673701,15150.0,15050.2588,14915.2891,14697.5575,14565.1471,14352.6796
김제시,28419,28501.0,28494.0,27827.6175729611,27081.0,26899.7726,26745.071,26296.354,26179.6218,26566.6971
완주군,12079,11959.0,11994.0,11932.8879349767,11798.0,11734.5324,11594.2883,11436.0985,11247.8061,10689.3591
진안군,7571,7428.0,7589.0,7593.8924835349,7384.0,7319.1671,7275.5328,7172.8432,7085.9935,6990.0488
무주군,5669,5530.0,5439.0,5432.8707923243,5408.0,5376.02,5310.973,5267.4595,5226.9418,4988.157
장수군,7213,7167.0,7226.0,7269.8781189685,7092.0,6985.1198,6955.2397,6866.9852,6826.1725,6737.3224
임실군,8006,7842.0,7735.0,7700.4808800708,7621.0,7593.9642,7511.3923,7495.7239,7404.317,7177.2548
순창군,9930,9879.0,9847.0,9793.7241101377,9757.0,9729.5338,9685.8904,9585.5413,9560.5729,9649.6
고창군,24980,24542.0,24516.0,24483.8788900028,24323.0,24259.2227,24182.3721,24007.9326,23863.8088,23659.8673
부안군,19009,18847.0,18881.0,18816.7494633283,18742.0,18580.8009,18348.2968,18018.9589,17902.6532,17844.1493
전라남도,309004,308220.0,305889.0,304798.646621942,298095.0,293862.9453,290826.6029,288248.5248,286396.0786,281076.8519
목포시,934,854.0,856.0,716.9961617144,682.0,600.4231,513.1191,488.8009,487.2857,431.2151
여수시,8398,8299.0,8299.0,8299.0710668099,7935.0,7653.0021,7406.9049,7343.0662,7213.2722,6072.7607
순천시,14146,13838.0,13749.0,13643.7372785962,13233.0,13019.1688,12896.4128,12752.9302,12673.6185,12000.0363
나주시,22410,22394.0,22379.0,22225.7373742015,21959.0,21663.2141,21449.2935,21286.458,21193.4519,21034.506
광양시,5893,5426.0,5180.0,5207.7073407208,5108.0,4993.2245,4927.3192,4815.6126,4765.1903,4750.222
담양군,9820,9462.0,9375.0,9352.8625788278,9209.0,9114.271,9054.5144,9010.083,8941.9854,9097.537
곡성군,8636,8527.0,8489.0,8496.2783866811,8149.0,8089.9039,8074.4046,8017.0755,8003.6254,7574.4958
구례군,5651,5581.0,5590.0,5591.0209700672,5506.0,5463.1917,5409.6236,5363.614,5299.3433,4722.735
고흥군,22879,22732.0,22103.0,22069.148551593,21593.0,21298.7866,21016.6477,20835.3824,20768.0232,20513.2992
보성군,14873,14683.0,14602.0,14478.619343205,14330.0,13852.0705,13746.1878,13643.3683,13595.3438,13507.0729
화순군,10234,10440.0,10093.0,10039.7736533125,9649.0,9391.4528,9324.9299,9222.2349,9140.8893,8750.9406
장흥군,12241,11655.0,11661.0,11620.1166668728,11513.0,11363.4574,11300.3152,11208.9019,11170.2455,10996.6937
강진군,13003,13036.0,12996.0,12903.6424533327,12606.0,12482.3772,12338.3431,12175.2406,12043.3746,12032.8314
해남군,35499,35369.0,35071.0,35051.4012050583,34576.0,34242.9896,34109.3647,33833.7578,33622.7692,35617.867
영암군,22921,22981.0,23079.0,23058.3581677003,22806.0,22494.9638,21948.9319,21794.8897,21779.8344,22817.568
무안군,19890,20510.0,20511.0,20456.7541386142,20333.0,20278.6419,20113.3206,20001.1987,19889.4541,19270.102
함평군,13465,13430.0,13206.0,13133.4769371288,12861.0,12742.9593,12692.1568,12454.9051,12267.91,12006.068
영광군,16588,17287.0,17276.0,17221.6253546423,16791.0,16656.495,16594.1484,16488.1195,16362.9626,16155.6599
장성군,11038,11250.0,11204.0,11151.7991203338,10649.0,10415.0831,10335.6119,10277.9436,10156.9108,9901.2361
완도군,7558,7295.0,7247.0,7296.5524849323,6125.0,5855.2151,5795.2249,5719.1004,5690.4343,5175.3465
진도군,12632,12590.0,12575.0,12487.1588162903,12413.0,12329.8023,12131.7587,12010.5397,11973.4624,10727.7204
신안군,20295,20582.0,20347.0,20296.8085713066,20069.0,19862.2515,19648.0692,19505.3018,19356.6917,17920.9383
경상북도,281885,279484.0,277650.0,274487.121966514,268461.0,265665.3422,262049.2363,260236.7284,257322.5697,249272.7735
포항시,14604,14322.0,14064.0,13779.8541170573,13501.0,13302.6027,13183.7454,13164.6358,13072.7169,12445.4795
경주시,21302,20455.0,20620.0,20376.5847167279,19870.0,19595.017,19383.9639,19346.1033,19151.6286,18362.9414
