지역,2012,2013,2014,2015,2016,2017,2018,2019,2020
영암군,1146871,1146871.0,1151089.0,1181142.0,1181142.0,1181028.0,2453148.0,2452148.0,2334670.0
무안군,652631,652631.0,652631.0,652631.0,652631.0,652631.0,652631.0,652631.0,635381.0
함평군,344210,402868.0,394580.0,394641.0,394641.0,394641.0,369233.0,420966.0,394417.0
영광군,214044,214044.0,215353.0,215353.0,215353.0,227146.0,254313.0,254313.0,254313.0
장성군,820806,823326.0,828906.0,820586.0,839796.0,841302.0,841302.0,841302.0,382679.0
완도군,30770,30770.0,30770.0,30770.0,29124.0,29124.0,33024.0,33024.0,31603.0
진도군,58016,58016.0,58016.0,58016.0,58016.0,58016.0,58016.0,56772.0,16693.0
신안군,910983,910983.0,910983.0,910983.0,20070.0,20070.0,20070.0,20070.0,80322.0
경상북도,16198584,17192157.0,16995450.0,17769205.0,19061824.0,19738928.0,19179120.0,19417916.0,14697482.0
포항시,1786815,2049486.0,2048212.0,2050061.0,2195955.0,2181007.0,2181007.0,2181007.0,2182617.0
경주시,2618294,2699228.0,2713549.0,2737909.0,2933461.0,3201029.0,3201029.0,3349668.0,2198127.0
김천시,1115061,1115061.0,1115061.0,1115859.0,1123929.0,1383789.0,1436591.0,1431851.0,905270.0
안동시,481528,481528.0,498967.0,415513.0,1042119.0,1042024.0,1085141.0,1142935.0,1000036.0
구미시,3028868,3192883.0,3363239.0,3448776.0,3475142.0,3475142.0,3582354.0,3575660.0,2802747.0
영주시,622416,643982.0,643982.0,653641.0,694846.0,693762.0,687288.0,729758.0,518859.0
영천시,638208,638208.0,612018.0,979977.0,979977.0,979296.0,930870.0,934848.0,604241.0
상주시,552345,552345.0,552345.0,552345.0,552345.0,552345.0,411552.0,411573.0,397099.0
문경시,352058,352058.0,352058.0,352058.0,352058.0,351688.0,351706.0,351706.0,169620.0
경산시,1231290,1466946.0,1577270.0,1596308.0,1606167.0,1632650.0,1579617.0,1579679.0,1126399.0
군위군,79850,81193.0,81193.0,81193.0,104730.0,104730.0,104730.0,104730.0,23537.0
의성군,196508,196508.0,196508.0,208826.0,208826.0,208826.0,208826.0,208826.0,21281.0
청송군,25530,25530.0,25530.0,25530.0,193512.0,193512.0,193477.0,193477.0,193477.0
영양군,6930,15732.0,32126.0,33098.0,38147.0,38147.0,38147.0,38147.0,38147.0
영덕군,153392,153392.0,153392.0,159332.0,159332.0,159332.0,154829.0,153774.0,142245.0
청도군,190020,190641.0,229661.0,229661.0,229993.0,228903.0,228903.0,228903.0,38020.0
고령군,188812,164982.0,164982.0,486128.0,486553.0,486553.0,531217.0,514286.0,517465.0
성주군,14368,165020.0,158047.0,158047.0,158047.0,161515.0,159869.0,159868.0,157708.0
칠곡군,1035275,1125864.0,1107638.0,1111865.0,1150085.0,1148939.0,567695.0,567695.0,487205.0
예천군,459275,459275.0,450132.0,453538.0,456162.0,428821.0,447876.0,463624.0,388641.0
봉화군,252794,253348.0,257417.0,257417.0,258315.0,387461.0,398178.0,397520.0,255491.0
울진군,552332,552332.0,404419.0,404419.0,404419.0,441753.0,440514.0,440677.0,271546.0
울릉군,616615,616615.0,257704.0,257704.0,257704.0,257704.0,257704.0,257704.0,257704.0
경상남도,17591663,17771624.0,17868746.0,19955491.0,19536033.0,19358896.0,18633936.0,19613230.0,17527590.0
창원시,5385266,5487174.0,5369933.0,6122609.0,6121689.0,6117513.0,5463431.0,5532057.0,5128172.0
진주시,1493094,1492721.0,1551733.0,1551733.0,1551697.0,1739571.0,1737598.0,1737598.0,1718745.0
통영시,99862,100105.0,101220.0,957396.0,957215.0,956535.0,953703.0,953703.0,889592.0
사천시,1158179,1165096.0,1016653.0,1095506.0,748034.0,809464.0,910689.0,928730.0,879713.0
김해시,2329258,2436846.0,2483699.0,2547779.0,2548320.0,2800358.0,2667613.0,2962215.0,2699432.0
밀양시,1651456,1650370.0,1746175.0,1801725.0,1786266.0,862919.0,893793.0,820790.0,820830.0
거제시,524720,524720.0,529948.0,481024.0,532254.0,532254.0,538921.0,538921.0,538893.0
양산시,2704942,2704942.0,2836139.0,2923052.0,2923052.0,2923052.0,2830978.0,2854521.0,2112135.0
함안군,220503,185295.0,185295.0,187208.0,187208.0,177758.0,177758.0,177758.0,103448.0
창녕군,445902,445902.0,445902.0,445902.0,356349.0,356349.0,97126.0,387666.0,290540.0
남해군,107805,107805.0,114151.0,114151.0,114151.0,7968.0,7968.0,364913.0,364913.0
하동군,242566,242566.0,242566.0,242566.0,242566.0,242566.0,498182.0,498182.0,449610.0
산청군,110302,110302.0,110302.0,66139.0,66139.0,56616.0,58390.0,58390.0,58390.0
함양군,442231,442231.0,442231.0,442231.0,424623.0,394883.0,394698.0,394698.0,220638.0
거창군,226620,226620.0,233412.0,343043.0,343043.0,287561.0,275731.0,275731.0,112811.0
제주특별자치도,718813,718813.0,718813.0,718813.0,718813.0,582075.0,585080.0,585080.0,585080.0
제주시,492588,492588.0,492588.0,492588.0,492588.0,414573.0,417578.0,417578.0,417578.0
서귀포시,226225,226225.0,226225.0,226225.0,226225.0,167502.0,167502.0,167502.0,167502.0
세종특별자치시,2372919,2443065.0,3120877.0,3128675.0,3151852.0,3096189.0,3096189.0,3549631.0,4570841.0
