TBL_NM,PRD_DE,TBL_ID,ITM_NM,ITM_NM_ENG,ITM_ID,UNIT_NM,ORG_ID,UNIT_NM_ENG,C1_OBJ_NM,C2_OBJ_NM,DT,PRD_SE,C2,C1,C1_NM,C1_NM_ENG,C2_NM,C2_NM_ENG
녹지,2018,TX_315_2009_H1037,면적,Area,16315T2009_004,㎡,460,㎡,소재지(시군구)별,녹지별,2724941,A,15315NJB000,15315HJG005005,광산구,Gwangsan-gu,계,Total
녹지,2018,TX_315_2009_H1037,면적,Area,16315T2009_004,㎡,460,㎡,소재지(시군구)별,녹지별,52747,A,15315NJB000,15315HJG0050061,동구,Dong-gu,계,Total
녹지,2018,TX_315_2009_H1037,면적,Area,16315T2009_004,㎡,460,㎡,소재지(시군구)별,녹지별,2833730,A,15315NJB000,15315HJG006,대전광역시,Daejeon,계,Total
녹지,2018,TX_315_2009_H1037,면적,Area,16315T2009_004,㎡,460,㎡,소재지(시군구)별,녹지별,434138,A,15315NJB000,15315HJG006001,동구,Dong-gu,계,Total
녹지,2018,TX_315_2009_H1037,면적,Area,16315T2009_004,㎡,460,㎡,소재지(시군구)별,녹지별,222464,A,15315NJB000,15315HJG006002,중구,Jung-gu,계,Total
녹지,2018,TX_315_2009_H1037,면적,Area,16315T2009_004,㎡,460,㎡,소재지(시군구)별,녹지별,489131,A,15315NJB000,15315HJG006003,서구,Seo-gu,계,Total
녹지,2018,TX_315_2009_H1037,면적,Area,16315T2009_004,㎡,460,㎡,소재지(시군구)별,녹지별,1010827,A,15315NJB000,15315HJG006004,유성구,Yuseong-gu,계,Total
녹지,2018,TX_315_2009_H1037,면적,Area,16315T2009_004,㎡,460,㎡,소재지(시군구)별,녹지별,677170,A,15315NJB000,15315HJG006005,대덕구,Daedeok-gu,계,Total
녹지,2018,TX_315_2009_H1037,면적,Area,16315T2009_004,㎡,460,㎡,소재지(시군구)별,녹지별,9926509,A,15315NJB000,15315HJG007,울산광역시,Ulsan,계,Total
녹지,2018,TX_315_2009_H1037,면적,Area,16315T2009_004,㎡,460,㎡,소재지(시군구)별,녹지별,9926509,A,15315NJB000,15315HJG007006,울산광역시,Ulsan,계,Total
녹지,2018,TX_315_2009_H1037,면적,Area,16315T2009_004,㎡,460,㎡,소재지(시군구)별,녹지별,63662145,A,15315NJB000,15315HJG008,경기도,Gyeonggi-do,계,Total
녹지,2018,TX_315_2009_H1037,면적,Area,16315T2009_004,㎡,460,㎡,소재지(시군구)별,녹지별,1809597,A,15315NJB000,15315HJG008001,수원시,Suwon-si,계,Total
녹지,2018,TX_315_2009_H1037,면적,Area,16315T2009_004,㎡,460,㎡,소재지(시군구)별,녹지별,2156593,A,15315NJB000,15315HJG008002,성남시,Seongnam-si,계,Total
녹지,2018,TX_315_2009_H1037,면적,Area,16315T2009_004,㎡,460,㎡,소재지(시군구)별,녹지별,755879,A,15315NJB000,15315HJG008003,의정부시,Uijeongbu-si,계,Total
녹지,2018,TX_315_2009_H1037,면적,Area,16315T2009_004,㎡,460,㎡,소재지(시군구)별,녹지별,476028,A,15315NJB000,15315HJG008004,안양시,Anyang-si,계,Total
녹지,2018,TX_315_2009_H1037,면적,Area,16315T2009_004,㎡,460,㎡,소재지(시군구)별,녹지별,725856,A,15315NJB000,15315HJG008005,부천시,Bucheon-si,계,Total
녹지,2018,TX_315_2009_H1037,면적,Area,16315T2009_004,㎡,460,㎡,소재지(시군구)별,녹지별,419845,A,15315NJB000,15315HJG008006,광명시,Gwangmyeong-si,계,Total
녹지,2018,TX_315_2009_H1037,면적,Area,16315T2009_004,㎡,460,㎡,소재지(시군구)별,녹지별,4909535,A,15315NJB000,15315HJG008007,평택시,Pyeongtaek-si,계,Total
녹지,2018,TX_315_2009_H1037,면적,Area,16315T2009_004,㎡,460,㎡,소재지(시군구)별,녹지별,188420,A,15315NJB000,15315HJG008008,동두천시,Dongducheon-si,계,Total
녹지,2018,TX_315_2009_H1037,면적,Area,16315T2009_004,㎡,460,㎡,소재지(시군구)별,녹지별,2221562,A,15315NJB000,15315HJG008009,안산시,Ansan-si,계,Total
녹지,2018,TX_315_2009_H1037,면적,Area,16315T2009_004,㎡,460,㎡,소재지(시군구)별,녹지별,1616199,A,15315NJB000,15315HJG008010,고양시,Goyang-si,계,Total
녹지,2018,TX_315_2009_H1037,면적,Area,16315T2009_004,㎡,460,㎡,소재지(시군구)별,녹지별,213523,A,15315NJB000,15315HJG008011,과천시,Gwacheon-si,계,Total
녹지,2018,TX_315_2009_H1037,면적,Area,16315T2009_004,㎡,460,㎡,소재지(시군구)별,녹지별,239191,A,15315NJB000,15315HJG008012,구리시,Guri-si,계,Total
녹지,2018,TX_315_2009_H1037,면적,Area,16315T2009_004,㎡,460,㎡,소재지(시군구)별,녹지별,3509355,A,15315NJB000,15315HJG008013,남양주시,Namyangju-si,계,Total
녹지,2018,TX_315_2009_H1037,면적,Area,16315T2009_004,㎡,460,㎡,소재지(시군구)별,녹지별,924406,A,15315NJB000,15315HJG008014,오산시,Osan-si,계,Total
녹지,2018,TX_315_2009_H1037,면적,Area,16315T2009_004,㎡,460,㎡,소재지(시군구)별,녹지별,2516775,A,15315NJB000,15315HJG008015,시흥시,Siheung-si,계,Total
녹지,2018,TX_315_2009_H1037,면적,Area,16315T2009_004,㎡,460,㎡,소재지(시군구)별,녹지별,556702,A,15315NJB000,15315HJG008016,군포시,Gunpo-si,계,Total
녹지,2018,TX_315_2009_H1037,면적,Area,16315T2009_004,㎡,460,㎡,소재지(시군구)별,녹지별,382992,A,15315NJB000,15315HJG008017,의왕시,Uiwang-si,계,Total
