지역,2016,2017,2018,2019,2020,2021
울산광역시,4380080,4483015,4487499,4402743,4343606,4593195
울주군,4096951,4195337,4196025,4203175,4135368,4211153
경기도,30913477,31124948,31477837,31303640,31917088,32406012
수원,1741326,1717286,1711388,1686493,1679822,1663041
성남,162325,159818,154916,156626,160313,169240
의정부,40573,47388,37236,38268,39759,41509
안양,1124745,1123010,1093951,1090273,1086744,1063279
부천,1750013,1668787,1668878,1636133,1617528,1626751
광명,616339,615761,615629,619446,627222,633965
평택,1726810,1723077,1688250,1540726,1501895,1531918
동두천,191857,188021,196465,190223,191395,207545
안산,275442,282028,286571,288482,284188,293337
고양,377766,262646,268109,172628,162447,157598
과천,3897,3897,4304,4717,3082,3082
구리,65942,65373,66709,69394,52194,53881
남양주,360243,371467,372829,382391,393595,389201
오산,876362,866903,750013,767482,651376,639052
시흥,368461,378094,398966,323089,312009,349040
군포,1131951,1178277,1209390,1241207,1085964,1032498
의왕,455530,497798,508984,495395,504522,512799
하남,314449,304622,311447,215947,333239,340556
용인,4021819,4187976,4271238,4261517,4377355,4410398
파주,268860,270947,278061,270218,283800,331199
이천,2672640,2668210,2693833,2676861,2702828,2690480
안성,2389988,2488116,2586208,2632575,2715566,2891817
김포,1795203,1837526,1917046,1988643,2058902,2080600
화성,5285928,5328164,5404464,5468397,5893699,5926357
광주,842820,790406,789823,799287,806379,800929
양주,1604203,1669112,1757904,1843925,1992450,2150002
포천,165066,146106,155451,155451,130728,150928
여주,122637,120376,116376,118553,111469,108671
연천,53132,53132,53132,53132,44785,47245
가평,51899,54770,53038,52408,51323,53654
양평,55251,55854,57229,63754,60510,55439
강원도,8149614,7280941,7242816,6978156,7135195,7158337
춘천,231616,234005,236640,244767,318561,310333
원주,620075,677358,665236,741170,814658,889253
강릉,2329215,1379702,1375206,1335898,1336353,1330584
동해,2732354,2737304,2745151,2451141,2450369,2446735
태백,109415,97241,96511,101491,101491,95414
속초,115636,128838,130955,132692,121505,97799
삼척,684882,686607,686381,684391,699713,699690
홍천,201347,218465,178406,177947,188116,176386
횡성,80849,80849,82264,79584,79584,76391
영월,806653,806653,806653,804670,801366,806053
평창,28109,28109,28109,28109,21857,22572
정선,47484,44375,45921,49639,50780,50780
철원,61930,61930,61930,54110,54110,53324
화천,8356,8356,8356,4124,4124,4124
양구,37069,37069,37069,37069,36204,36204
인제,29925,29925,29925,28767,25404,31695
고성,12636,12636,12636,5727,14140,14140
양양,12063,11519,15468,16860,16860,16860
충청북도,4660939,4815665,4922844,5031595,5084448,5102992
청주,916641,985249,1022035,1088766,1084899,1122783
충주,1058416,1060758,1079209,1046163,1045371,1084448
제천,150090,151443,163905,175354,141103,154144
보은,23432,23432,23432,23432,23432,23432
옥천,542210,547516,557825,558857,591123,553797
영동,178010,163544,162473,174472,185723,178837
진천,110081,105352,239763,114164,113089,111226
괴산,242470,242470,35211,239763,239967,183966
음성,35211,35211,606362,33502,33502,33502
단양,485914,582226,918464,658717,707836,731665
증평,918464,918464,114164,918404,918404,925193
충청남도,14095569,14003891,14184208,14484833,14521945,14623912
천안,3787921,3736976,3845711,3988035,4141698,4252358
공주,101267,103605,106055,111504,114789,118306
보령,90042,88986,87459,87574,91037,95350
아산,1010967,983762,974740,1078113,1084592,1077537
서산,7112730,7183700,7237575,7236314,7012266,6992537
논산,220589,220589,220333,236689,244788,237051
계룡,58966,64105,65147,66877,64596,59423
당진,420259,408862,419341,418837,434366,449133
금산,204878,199413,196162,213617,260836,261174
부여,206051,206332,214157,213093,210378,210378
서천,575179,574889,564681,564681,579362,577902
청양,8575,9898,9898,9898,9898,9898
홍성,149722,147797,148277,154282,166894,175856
예산,122796,54106,63807,65578,66417,66982
태안,25628,20871,30863,39739,40027,40027
전라북도,3389368,3500317,31803179,3125129,3167313,3230367
전주,1278998,1348131,30021857,1292922,1344663,1378650
군산,799209,805773,384928,383159,333510,346599
익산,500006,504620,513874,526780,537265,546668
정읍,160242,163951,166411,166786,168109,159595
남원,135124,135616,138976,145658,145283,148309
김제,151577,169128,174100,191029,200140,206951
완주,196420,207774,219656,233970,237304,241775
진안,3485,3485,3485,2825,3116,4747
무주,9679,9679,9679,9879,9879,9879
장수,22768,22768,22768,22768,22768,22768
임실,29250,30246,44351,50173,50173,48192
순창,9397,9397,9397,2567,2567,2567
고창,19592,19355,20206,20207,20207,20207
부안,73622,70394,73492,76406,92330,93460
전라남도,6261153,6396253,6242035,6359064,6455176,6539741
목포,221802,228674,263371,268544,283036,282978
여수,2125054,2133175,2176245,2192413,2224389,2252924
순천,528800,547039,577120,604815,621061,604405
나주,644124,668368,677671,695097,706583,719130
광양,851098,866729,568584,594909,620283,648948
담양,193422,214372,213076,215084,219331,219331
곡성,66987,66987,66987,69351,64362,58752
구례,2485,2485,2485,2485,685,685
고흥,39504,40239,38375,42123,43181,40424
보성,37500,39203,39203,40669,43648,67435
화순,58149,60749,60749,62724,43124,45742
장흥,70903,68984,77566,80116,82382,82862
강진,164184,165198,165242,153757,154749,162747
해남,74623,79743,107900,107402,114760,124735
영암,167007,172491,168975,183072,189642,197415
무안,5583,5551,7139,8818,8818,8818
함평,136454,137785,126061,128083,112734,89562
영광,210218,217224,221682,227492,232067,231686
장성,599856,616141,616470,615696,609858,613079
완도,25612,24693,24693,26607,42693,50294
진도,23063,25697,25697,23063,23063,23063
신안,14726,14726,16745,16745,14726,14726
