TBL_NM,PRD_DE,TBL_ID,ITM_NM,ITM_ID,ORG_ID,UNIT_NM,UNIT_NM_ENG,C1_OBJ_NM,DT,PRD_SE,C1,C1_NM
도시지역 개별입지 공장 현황,201702,TX_399020016,면적,B,399,㎡,㎡,지역별,506277,S,099,의왕
도시지역 개별입지 공장 현황,201702,TX_399020016,면적,B,399,㎡,㎡,지역별,310241,S,100,하남
도시지역 개별입지 공장 현황,201702,TX_399020016,면적,B,399,㎡,㎡,지역별,4209268,S,101,용인
도시지역 개별입지 공장 현황,201702,TX_399020016,면적,B,399,㎡,㎡,지역별,276739,S,102,파주
도시지역 개별입지 공장 현황,201702,TX_399020016,면적,B,399,㎡,㎡,지역별,2697427,S,103,이천
도시지역 개별입지 공장 현황,201702,TX_399020016,면적,B,399,㎡,㎡,지역별,2541238,S,104,안성
도시지역 개별입지 공장 현황,201702,TX_399020016,면적,B,399,㎡,㎡,지역별,1859345,S,105,김포
도시지역 개별입지 공장 현황,201702,TX_399020016,면적,B,399,㎡,㎡,지역별,5384756,S,106,화성
도시지역 개별입지 공장 현황,201702,TX_399020016,면적,B,399,㎡,㎡,지역별,765283,S,107,광주
도시지역 개별입지 공장 현황,201702,TX_399020016,면적,B,399,㎡,㎡,지역별,1699462,S,108,양주
도시지역 개별입지 공장 현황,201702,TX_399020016,면적,B,399,㎡,㎡,지역별,154248,S,109,포천
도시지역 개별입지 공장 현황,201702,TX_399020016,면적,B,399,㎡,㎡,지역별,116376,S,110,여주
도시지역 개별입지 공장 현황,201702,TX_399020016,면적,B,399,㎡,㎡,지역별,53132,S,111,연천
도시지역 개별입지 공장 현황,201702,TX_399020016,면적,B,399,㎡,㎡,지역별,52806,S,112,가평
도시지역 개별입지 공장 현황,201702,TX_399020016,면적,B,399,㎡,㎡,지역별,57229,S,113,양평
도시지역 개별입지 공장 현황,201702,TX_399020016,면적,B,399,㎡,㎡,지역별,7221245,S,114,강원도
도시지역 개별입지 공장 현황,201702,TX_399020016,면적,B,399,㎡,㎡,지역별,234611,S,115,춘천
도시지역 개별입지 공장 현황,201702,TX_399020016,면적,B,399,㎡,㎡,지역별,647827,S,116,원주
도시지역 개별입지 공장 현황,201702,TX_399020016,면적,B,399,㎡,㎡,지역별,1376353,S,117,강릉
도시지역 개별입지 공장 현황,201702,TX_399020016,면적,B,399,㎡,㎡,지역별,2745151,S,118,동해
도시지역 개별입지 공장 현황,201702,TX_399020016,면적,B,399,㎡,㎡,지역별,99084,S,119,태백
도시지역 개별입지 공장 현황,201702,TX_399020016,면적,B,399,㎡,㎡,지역별,129918,S,120,속초
도시지역 개별입지 공장 현황,201702,TX_399020016,면적,B,399,㎡,㎡,지역별,686308,S,121,삼척
도시지역 개별입지 공장 현황,201702,TX_399020016,면적,B,399,㎡,㎡,지역별,178588,S,122,홍천
도시지역 개별입지 공장 현황,201702,TX_399020016,면적,B,399,㎡,㎡,지역별,80849,S,123,횡성
도시지역 개별입지 공장 현황,201702,TX_399020016,면적,B,399,㎡,㎡,지역별,806653,S,124,영월
도시지역 개별입지 공장 현황,201702,TX_399020016,면적,B,399,㎡,㎡,지역별,28109,S,125,평창
도시지역 개별입지 공장 현황,201702,TX_399020016,면적,B,399,㎡,㎡,지역별,46359,S,126,정선
도시지역 개별입지 공장 현황,201702,TX_399020016,면적,B,399,㎡,㎡,지역별,61930,S,127,철원
도시지역 개별입지 공장 현황,201702,TX_399020016,면적,B,399,㎡,㎡,지역별,8356,S,128,화천
도시지역 개별입지 공장 현황,201702,TX_399020016,면적,B,399,㎡,㎡,지역별,37069,S,129,양구
도시지역 개별입지 공장 현황,201702,TX_399020016,면적,B,399,㎡,㎡,지역별,29925,S,130,인제
도시지역 개별입지 공장 현황,201702,TX_399020016,면적,B,399,㎡,㎡,지역별,12636,S,131,고성
도시지역 개별입지 공장 현황,201702,TX_399020016,면적,B,399,㎡,㎡,지역별,11519,S,132,양양
도시지역 개별입지 공장 현황,201702,TX_399020016,면적,B,399,㎡,㎡,지역별,4829948,S,133,충청북도
도시지역 개별입지 공장 현황,201702,TX_399020016,면적,B,399,㎡,㎡,지역별,1001519,S,134,청주
도시지역 개별입지 공장 현황,201702,TX_399020016,면적,B,399,㎡,㎡,지역별,1060758,S,135,충주
도시지역 개별입지 공장 현황,201702,TX_399020016,면적,B,399,㎡,㎡,지역별,152528,S,136,제천
도시지역 개별입지 공장 현황,201702,TX_399020016,면적,B,399,㎡,㎡,지역별,23432,S,137,보은
도시지역 개별입지 공장 현황,201702,TX_399020016,면적,B,399,㎡,㎡,지역별,548541,S,138,옥천
도시지역 개별입지 공장 현황,201702,TX_399020016,면적,B,399,㎡,㎡,지역별,160536,S,139,영동
도시지역 개별입지 공장 현황,201702,TX_399020016,면적,B,399,㎡,㎡,지역별,35211,S,140,진천
도시지역 개별입지 공장 현황,201702,TX_399020016,면적,B,399,㎡,㎡,지역별,583030,S,141,괴산
