행정구역(시군구)별,항목,단위,2000.01 월,2001.01 월,2002.01 월,2003.01 월,2004.01 월,2005.01 월,2006.01 월,2007.01 월,2008.01 월,2009.01 월,2010.01 월,2011.01 월,2012.01 월,2013.01 월,2014.01 월,2015.01 월,2016.01 월,2017.01 월,2018.01 월,2019.01 월,2020.01 월,2021.01 월,2022.01 월
충청북도,시도내이동-시군구간 전출[명],명,4091.0,3861.0,4188.0,4115.0,3777.0,4115.0,4041.0,5984.0,5158.0,4065.0,4132.0,4013.0,3720,3483,3116,2526,2608,2228,2370,2994,2700,2938,2393
충청북도,시도간전입[명],명,5809.0,5589.0,7592.0,6368.0,6296.0,6257.0,6578.0,8271.0,7621.0,6291.0,6481.0,6863.0,6627,6775,6177,7009,6926,6558,7581,8089,7464,7169,6578
충청북도,시도간전출[명],명,6798.0,5888.0,7304.0,7172.0,6286.0,7252.0,7259.0,8178.0,7669.0,6650.0,6699.0,6312.0,6737,7044,6447,7661,7108,6546,7840,7933,7887,8072,6642
충청남도,총전입[명],명,20029.0,18432.0,22998.0,21806.0,24043.0,27139.0,27629.0,34777.0,38218.0,24145.0,27089.0,24979.0,23711,24726,22228,27236,24576,23264,27368,25843,24055,24977,22431
충청남도,총전출[명],명,21091.0,19755.0,24538.0,23851.0,26747.0,30498.0,29358.0,35324.0,36593.0,24106.0,26344.0,24850.0,23479,24286,21804,26747,23967,22634,26298,26122,24999,25706,22549
충청남도,순이동[명],명,-1062.0,-1323.0,-1540.0,-2045.0,-2704.0,-3359.0,-1729.0,-547.0,1625.0,39.0,745.0,129.0,232,440,424,489,609,630,1070,-279,-944,-729,-118
충청남도,시도내이동-시군구내[명],명,7708.0,7298.0,8882.0,8385.0,9049.0,10197.0,11375.0,14291.0,15932.0,9099.0,11365.0,9620.0,9509,9925,9159,11033,9231,8864,10501,9600,8869,9540,8154
충청남도,시도내이동-시군구간 전입[명],명,3037.0,2703.0,3697.0,3903.0,4573.0,5123.0,4599.0,6116.0,7111.0,4023.0,4013.0,3964.0,3496,3676,3119,4531,4395,3587,4485,4194,4004,4324,4007
충청남도,시도내이동-시군구간 전출[명],명,3037.0,2703.0,3697.0,3903.0,4573.0,5123.0,4599.0,6116.0,7111.0,4023.0,4013.0,3964.0,3496,3676,3119,4531,4395,3587,4485,4194,4004,4324,4007
충청남도,시도간전입[명],명,9284.0,8431.0,10419.0,9518.0,10421.0,11819.0,11655.0,14370.0,15175.0,11023.0,11711.0,11395.0,10706,11125,9950,11672,10950,10813,12382,12049,11182,11113,10270
충청남도,시도간전출[명],명,10346.0,9754.0,11959.0,11563.0,13125.0,15178.0,13384.0,14917.0,13550.0,10984.0,10966.0,11266.0,10474,10685,9526,11183,10341,10183,11312,12328,12126,11842,10388
전라북도,총전입[명],명,28898.0,25221.0,30732.0,24121.0,32412.0,27363.0,27169.0,32831.0,36260.0,24408.0,26188.0,24447.0,23584,23622,22206,22448,20207,20975,23420,22266,22316,20333,16959
전라북도,총전출[명],명,32455.0,29896.0,50552.0,27137.0,54095.0,30993.0,29451.0,35111.0,40140.0,25359.0,26972.0,25038.0,24472,24731,23045,22976,21659,22213,25710,23930,23350,21142,17820
전라북도,순이동[명],명,-3557.0,-4675.0,-19820.0,-3016.0,-21683.0,-3630.0,-2282.0,-2280.0,-3880.0,-951.0,-784.0,-591.0,-888,-1109,-839,-528,-1452,-1238,-2290,-1664,-1034,-809,-861
전라북도,시도내이동-시군구내[명],명,14333.0,11443.0,14087.0,12309.0,12975.0,12769.0,13537.0,16253.0,17659.0,11825.0,13022.0,12323.0,10873,11781,10858,10856,9583,9064,11038,10165,11267,9825,7972
전라북도,시도내이동-시군구간 전입[명],명,8408.0,8277.0,10560.0,6269.0,13921.0,8517.0,7466.0,8700.0,11308.0,6198.0,6738.0,6079.0,6441,5744,5706,5329,5238,6060,6472,6006,5179,4840,3951
전라북도,시도내이동-시군구간 전출[명],명,8408.0,8277.0,10560.0,6269.0,13921.0,8517.0,7466.0,8700.0,11308.0,6198.0,6738.0,6079.0,6441,5744,5706,5329,5238,6060,6472,6006,5179,4840,3951
전라북도,시도간전입[명],명,6157.0,5501.0,6085.0,5543.0,5516.0,6077.0,6166.0,7878.0,7293.0,6385.0,6428.0,6045.0,6270,6097,5642,6263,5386,5851,5910,6095,5870,5668,5036
전라북도,시도간전출[명],명,9714.0,10176.0,25905.0,8559.0,27199.0,9707.0,8448.0,10158.0,11173.0,7336.0,7212.0,6636.0,7158,7206,6481,6791,6838,7089,8200,7759,6904,6477,5897
전라남도,총전입[명],명,26142.0,22965.0,28610.0,23092.0,23555.0,25228.0,22781.0,28139.0,28305.0,23177.0,23218.0,22621.0,20977,22876,21057,21817,19642,19979,22457,21716,20955,22058,18840
전라남도,총전출[명],명,30678.0,26936.0,33679.0,26960.0,26625.0,27935.0,25611.0,30553.0,30289.0,23881.0,24721.0,24429.0,22736,24481,21766,23283,21590,21243,24787,25181,24283,22369,18299
전라남도,순이동[명],명,-4536.0,-3971.0,-5069.0,-3868.0,-3070.0,-2707.0,-2830.0,-2414.0,-1984.0,-704.0,-1503.0,-1808.0,-1759,-1605,-709,-1466,-1948,-1264,-2330,-3465,-3328,-311,541
전라남도,시도내이동-시군구내[명],명,10947.0,9114.0,12520.0,9517.0,8762.0,11111.0,9386.0,11209.0,11842.0,8768.0,9208.0,9960.0,7586,8680,8504,7610,7348,6996,8218,7488,7155,8258,7434
전라남도,시도내이동-시군구간 전입[명],명,5602.0,5293.0,6051.0,5008.0,5131.0,4885.0,4405.0,5813.0,6039.0,5710.0,5318.0,4793.0,5176,5791,4701,5348,4664,5224,5924,6021,6125,5203,4118
