,소재지(시군구)별(1),소재지(시군구)별(2),2008,2008.5,2009,2009.5,2010,2010.5,2011,2011.5,2012,2012.5,2013,2013.5,2014,2014.5,2015,2015.5,2016,2016.5,2017,2017.5,2018,2018.5,2019,2019.5,2020,2020.5
0,소재지(시군구)별(1),소재지(시군구)별(2),10년미만,10년이상,10년미만,10년이상,10년미만,10년이상,10년미만,10년이상,10년미만,10년이상,10년미만,10년이상,10년미만,10년이상,10년미만,10년이상,10년미만,10년이상,10년미만,10년이상,10년미만,10년이상,10년미만,10년이상,10년미만,10년이상
1,소재지(시군구)별(1),소재지(시군구)별(2),계(a+b),계(a+b),계(a+b),계(a+b),계(a+b),계(a+b),계(a+b),계(a+b),계(a+b),계(a+b),계(a+b),계(a+b),계(a+b),계(a+b),계(a+b),계(a+b),계(a+b),계(a+b),계(a+b),계(a+b),계(a+b),계(a+b),계(a+b),계(a+b),계(a+b),계(a+b)
58,충청북도,소계,702446,1692569,704359,1692569,8116438,1694479,2566532,6011881,2566532,6011881,8140486,6011881,8138573,6004784,5750473,0,4786801,965510,4626145,965510,4546117,965510,4539200,965510,4539200,965510
59,충청북도,충주시,-,-,1913,0,1913,0,1913,0,1913,0,1913,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-
60,충청북도,제천시,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1838,0,1838,0,1838,0,1838,0,1838,0
61,충청북도,보은군,-,-,-,-,-,-,-,-,-,-,5582900,0,5582900,0,5582900,0,4617390,965510,4617390,965510,4537362,965510,4537362,965510,4537362,965510
62,충청북도,옥천군,1910,5187,1910,5187,0,7097,0,7097,0,7097,0,7097,-,-,-,-,-,-,-,-,-,-,-,-,-,-
63,충청북도,영동군,675050,0,675050,0,8044398,0,2336456,6004784,2336456,6004784,2336456,6004784,2336456,6004784,-,-,-,-,-,-,-,-,-,-,-,-
64,충청북도,괴산군,-,-,-,-,-,-,161889,0,161889,0,161889,0,161889,0,161889,0,161889,0,-,-,-,-,-,-,-,-
65,충청북도,음성군,-,-,-,-,44641,0,44641,0,44641,0,35695,0,35695,0,-,-,-,-,-,-,-,-,-,-,-,-
66,충청북도,증평군,25486,1687382,25486,1687382,25486,1687382,21633,0,21633,0,21633,0,21633,0,5684,0,5684,0,6917,0,6917,0,-,-,-,-
67,충청남도,소계,437917,984760,2516463,731732,2765227,567469,2805790,569234,2824964,526905,2777554,558076,2689897,642670,2806737,683470,2705573,655229,2601137,716276,2523050,756766,242535,2578916,239065,2549148
68,충청남도,천안시,1964,0,21240,0,21240,0,21240,0,12727,0,2136,0,2136,2968,223267,0,262688,0,262688,0,221131,41557,221131,41557,221131,41557
69,충청남도,공주시,-,-,2229906,264776,2449213,100513,2449213,100513,2449213,100513,2440437,100513,2440437,100513,2440437,100513,2390689,100513,2283985,207217,2283985,207217,3470,2487732,0,2491202
70,충청남도,보령시,0,25212,703,25212,703,25212,703,25212,703,25212,703,25212,703,25212,703,25212,-,-,-,-,-,-,-,-,-,-
71,충청남도,아산시,171339,49677,0,3682,5179,3682,63879,4256,63879,4256,58700,35427,58700,35427,0,92411,0,92411,0,92411,0,92411,-,-,-,-
72,충청남도,논산시,-,-,-,-,-,-,-,-,-,-,-,-,-,-,91626,0,13667,0,13667,0,13667,0,13667,0,13667,0
73,충청남도,서산시,51693,0,51693,0,51693,0,51693,0,98013,0,99427,0,83182,16245,-,-,-,-,-,-,-,-,-,-,-,-
74,충청남도,계룡시,142257,0,142257,0,142257,0,122116,0,122116,0,122116,0,50704,65381,50704,65381,38529,65381,38529,19724,4267,16389,4267,16389,4267,16389
75,충청남도,당진시,-,-,-,-,-,-,-,-,75284,0,51006,0,51006,0,-,-,-,-,-,-,-,-,-,-,-,-
