,소재지(시군구)별,도시및비도시지역별,항목,단위,2005 년,2006 년,2007 년,2008 년,2009 년,2010 년,2011 년,2012 년,2013 년,2014 년,2015 년,2016 년,2017 년,2018 년,2019 년,2020 년,Unnamed: 20
355,북구,합계,면적[㎡],㎡,,121750881.0,121741774.0,121736016.0,121737917.0,121738415.0,120297717.0,120296072.0,120299468.0,120301295.0,120301780.0,120308865.0,120305295.0,120297255.0,120280473.0,120273559.0,
360,광산구,합계,면적[㎡],㎡,,222882740.0,222876716.0,222859526.0,222916858.0,222912708.0,222889639.0,222897033.0,222897259.0,222895359.0,222883609.0,222859485.0,222798607.0,222779882.0,222777065.0,222794446.0,
365,대전광역시,합계,면적[㎡],㎡,539777615.0,539790559.0,539643876.0,539845271.0,539862175.0,539903766.0,539966056.0,540146674.0,540237599.0,539283131.0,539348970.0,539347564.0,539464180.0,539532358.0,539626515.0,539663500.0,
370,동구,합계,면적[㎡],㎡,136782899.0,136748544.0,136621249.0,136612140.0,136613108.0,136611565.0,136626852.0,136642664.0,136672764.0,136651263.0,136652283.0,136661184.0,136670953.0,136679185.0,136679755.0,136683709.0,
375,중구,합계,면적[㎡],㎡,61977158.0,61980505.0,62009668.0,62129745.0,62128048.0,62134513.0,62129925.0,62128539.0,62131303.0,62137206.0,62142765.0,62144187.0,62141749.0,62179923.0,62179185.0,62179042.0,
380,서구,합계,면적[㎡],㎡,95392708.0,95398105.0,95312268.0,95385316.0,95400642.0,95419835.0,95478882.0,95480051.0,95473252.0,95476240.0,95494224.0,95497363.0,95505943.0,95477107.0,95525521.0,95530568.0,
385,유성구,합계,면적[㎡],㎡,177184663.0,177217127.0,177244315.0,177248121.0,177268179.0,177284487.0,177266336.0,177233011.0,177279478.0,176333056.0,176370237.0,176361081.0,176455997.0,176504416.0,176529023.0,176554223.0,
390,대덕구,합계,면적[㎡],㎡,68440187.0,68446278.0,68456376.0,68469949.0,68452198.0,68453366.0,68464061.0,68662409.0,68680802.0,68685366.0,68689461.0,68683749.0,68689538.0,68691727.0,68713031.0,68715958.0,
395,울산광역시,합계,면적[㎡],㎡,1057142112.0,1057098229.0,1057262776.0,1057501546.0,1058197376.0,1058951724.0,1059997863.0,1060191838.0,1060455904.0,1060749509.0,1060956192.0,1060794253.0,1061177047.0,1061543887.0,1062038815.0,1062086169.0,
400,중구,합계,면적[㎡],㎡,36977256.0,36995100.0,36991529.0,36986210.0,36988885.0,36988745.0,36985669.0,37001731.0,37003527.0,37008944.0,37008819.0,37009540.0,37009056.0,37010139.0,37010509.0,37007264.0,
405,남구,합계,면적[㎡],㎡,72061466.0,72112640.0,72130087.0,72179677.0,72552058.0,72553102.0,72690413.0,72694760.0,72696062.0,72994003.0,73021121.0,73045500.0,73460663.0,73466681.0,73466522.0,73510698.0,
410,동구,합계,면적[㎡],㎡,35771110.0,35770179.0,35773441.0,35882808.0,35939252.0,36011532.0,36017449.0,36031186.0,36031339.0,36032158.0,36035629.0,36036842.0,36036515.0,36047776.0,36074686.0,36074908.0,
415,북구,합계,면적[㎡],㎡,157293716.0,157309544.0,157353360.0,157376736.0,157377214.0,157347666.0,157343585.0,157342221.0,157337492.0,157324745.0,157325026.0,157327565.0,157335925.0,157340357.0,157357088.0,157351672.0,
420,울주군,합계,면적[㎡],㎡,755038564.0,754910766.0,755014359.0,755076115.0,755339967.0,756050679.0,756960747.0,757121940.0,757387484.0,757389659.0,757565597.0,757374806.0,757334888.0,757678934.0,758130010.0,758141627.0,
425,세종특별자치시,합계,면적[㎡],㎡,,,,,,,,464883252.0,464900371.0,464897404.0,464866065.0,464868526.0,464893067.0,464912495.0,464949680.0,464912366.0,
