,행정구역별,자동차등록용도별,차종별,항목,단위,2020 년,2019 년,2018 년,2017 년,2016 년,2015 년,2014 년,2013 년,2012 년,Unnamed: 14
3211,김포시,전체,합계,연간 주행거리[천㎞],천㎞,3103065.0,3011754.9,2861834.0,2644064.1,2422181.9,2269245.4,2146078.1,1916024.2,1840930.9,
3241,화성시,전체,합계,연간 주행거리[천㎞],천㎞,6214828.8,5882444.4,5447518.5,4939618.1,4592167.8,4169478.9,3807254.5,3528680.8,3505116.2,
3271,광주시,전체,합계,연간 주행거리[천㎞],천㎞,3179031.8,3116264.8,2992717.9,2835262.8,2675143.3,2485970.7,2343028.0,2204920.0,2124140.5,
3301,양주시,전체,합계,연간 주행거리[천㎞],천㎞,1508081.9,1482088.4,1430215.1,1343428.4,1296715.8,1222664.8,1165246.8,1105071.5,1113611.0,
3331,포천시,전체,합계,연간 주행거리[천㎞],천㎞,1617280.7,1607431.1,1604016.9,1609344.9,1587157.1,1481617.4,1408676.7,1333637.8,1156073.9,
3361,여주시,전체,합계,연간 주행거리[천㎞],천㎞,1196662.9,1187880.4,1165776.4,1162430.8,1132023.2,1067413.5,1051734.0,994856.1,925459.3,
3391,연천군,전체,합계,연간 주행거리[천㎞],천㎞,571749.5,566080.4,552405.0,570795.3,554214.3,516399.3,501474.3,511325.5,479573.7,
3421,가평군,전체,합계,연간 주행거리[천㎞],천㎞,432482.4,423714.1,425888.6,406950.6,391248.5,375142.2,363711.9,354005.7,323035.6,
3451,양평군,전체,합계,연간 주행거리[천㎞],천㎞,890872.6,867803.7,860709.1,812951.3,784772.5,719767.4,694420.8,646945.1,591541.2,
3481,강원도,전체,합계,연간 주행거리[천㎞],천㎞,10713833.3,10619162.0,10500932.0,10203935.2,9928182.9,9473877.0,9268360.6,8927661.9,9116342.5,
3511,춘천시,전체,합계,연간 주행거리[천㎞],천㎞,1798736.9,1802186.0,1773155.3,1747562.2,1686784.2,1612895.5,1593981.3,1560732.8,1672995.6,
3541,원주시,전체,합계,연간 주행거리[천㎞],천㎞,2419484.7,2359142.9,2314114.9,2226260.5,2163101.4,2063413.9,2028010.7,1917887.9,1941677.0,
3571,강릉시,전체,합계,연간 주행거리[천㎞],천㎞,1474524.9,1471772.3,1455431.7,1428684.0,1403483.7,1342911.3,1330449.5,1302799.5,1351857.2,
3601,동해시,전체,합계,연간 주행거리[천㎞],천㎞,603402.5,606997.4,604335.4,592742.3,575072.0,553930.7,549310.6,529939.2,554251.3,
3631,태백시,전체,합계,연간 주행거리[천㎞],천㎞,300778.1,312555.2,312916.6,307442.4,305661.8,295671.3,298065.9,290577.6,316830.6,
3661,속초시,전체,합계,연간 주행거리[천㎞],천㎞,481488.3,480419.1,471433.2,458038.4,443144.8,438043.7,418045.3,419189.3,391196.9,
3691,삼척시,전체,합계,연간 주행거리[천㎞],천㎞,439130.0,434392.7,437031.9,421483.9,411191.6,396065.9,383565.5,379554.4,388217.7,
3721,홍천군,전체,합계,연간 주행거리[천㎞],천㎞,572416.2,574938.3,570880.9,550590.9,524719.7,509355.5,477105.6,456857.7,457368.5,
3751,횡성군,전체,합계,연간 주행거리[천㎞],천㎞,378755.4,368498.0,372406.1,351436.5,344112.4,322650.7,311305.3,285962.7,280820.1,
3781,영월군,전체,합계,연간 주행거리[천㎞],천㎞,296769.9,297210.6,293101.8,286157.3,273450.7,260428.2,251544.2,249310.9,234118.4,
3811,평창군,전체,합계,연간 주행거리[천㎞],천㎞,342953.0,340387.1,338199.1,325231.1,321461.6,301001.3,297422.7,277615.0,277675.2,
3841,정선군,전체,합계,연간 주행거리[천㎞],천㎞,281751.7,277844.3,278398.2,273155.3,269634.3,252942.8,242186.5,237781.5,239715.7,
3871,철원군,전체,합계,연간 주행거리[천㎞],천㎞,329879.0,321336.0,323198.9,311638.0,309603.6,283861.6,280325.4,256103.5,261003.5,
3901,화천군,전체,합계,연간 주행거리[천㎞],천㎞,179363.3,175024.8,171382.5,161392.8,159285.4,145509.0,137908.5,128286.5,133973.0,
3931,양구군,전체,합계,연간 주행거리[천㎞],천㎞,156281.0,157826.6,154222.5,151239.2,144639.7,137384.6,128747.3,122259.9,121128.3,
3961,인제군,전체,합계,연간 주행거리[천㎞],천㎞,257741.1,245184.6,246092.6,240453.5,228301.1,212480.4,208418.2,193566.2,190197.7,
3991,고성군,전체,합계,연간 주행거리[천㎞],천㎞,195891.7,194253.9,192600.0,183715.3,179957.7,166556.3,162866.9,154577.7,150851.2,
