TBL_NM,PRD_DE,TBL_ID,ITM_NM,ITM_NM_ENG,ITM_ID,UNIT_NM,ORG_ID,UNIT_NM_ENG,C1_OBJ_NM,C1_OBJ_NM_ENG,C2_OBJ_NM,C2_OBJ_NM_ENG,DT,PRD_SE,C2,C1,C1_NM,C2_NM,C1_NM_ENG,C2_NM_ENG
도시지역 인구현황(시군구),2019,TX_315_2009_H1001,도시지역 인구현황(시군구),Current Status of Urban Area Population,16315T2009_0260,명,460,Person,소재지(시군구)별,By Administrative District,인구현황별,By Population of Urban District,357880,A,15315DSH001,15315HJG002005,부산진구,전체인구(A),Busanjin-gu,Total Population
도시지역 인구현황(시군구),2019,TX_315_2009_H1001,도시지역 인구현황(시군구),Current Status of Urban Area Population,16315T2009_0260,명,460,Person,소재지(시군구)별,By Administrative District,인구현황별,By Population of Urban District,271247,A,15315DSH001,15315HJG002006,동래구,전체인구(A),dongrae-gu,Total Population
도시지역 인구현황(시군구),2019,TX_315_2009_H1001,도시지역 인구현황(시군구),Current Status of Urban Area Population,16315T2009_0260,명,460,Person,소재지(시군구)별,By Administrative District,인구현황별,By Population of Urban District,274480,A,15315DSH001,15315HJG002007,남구,전체인구(A),Nam-gu,Total Population
도시지역 인구현황(시군구),2019,TX_315_2009_H1001,도시지역 인구현황(시군구),Current Status of Urban Area Population,16315T2009_0260,명,460,Person,소재지(시군구)별,By Administrative District,인구현황별,By Population of Urban District,291132,A,15315DSH001,15315HJG002008,북구,전체인구(A),Buk-gu,Total Population
도시지역 인구현황(시군구),2019,TX_315_2009_H1001,도시지역 인구현황(시군구),Current Status of Urban Area Population,16315T2009_0260,명,460,Person,소재지(시군구)별,By Administrative District,인구현황별,By Population of Urban District,406102,A,15315DSH001,15315HJG002009,해운대구,전체인구(A),Haeundae-gu,Total Population
도시지역 인구현황(시군구),2019,TX_315_2009_H1001,도시지역 인구현황(시군구),Current Status of Urban Area Population,16315T2009_0260,명,460,Person,소재지(시군구)별,By Administrative District,인구현황별,By Population of Urban District,321004,A,15315DSH001,15315HJG002010,사하구,전체인구(A),Saha-gu,Total Population
도시지역 인구현황(시군구),2019,TX_315_2009_H1001,도시지역 인구현황(시군구),Current Status of Urban Area Population,16315T2009_0260,명,460,Person,소재지(시군구)별,By Administrative District,인구현황별,By Population of Urban District,239062,A,15315DSH001,15315HJG002011,금정구,전체인구(A),Geumjeong-gu,Total Population
도시지역 인구현황(시군구),2019,TX_315_2009_H1001,도시지역 인구현황(시군구),Current Status of Urban Area Population,16315T2009_0260,명,460,Person,소재지(시군구)별,By Administrative District,인구현황별,By Population of Urban District,129566,A,15315DSH001,15315HJG002012,강서구,전체인구(A),Gangseo-gu,Total Population
도시지역 인구현황(시군구),2019,TX_315_2009_H1001,도시지역 인구현황(시군구),Current Status of Urban Area Population,16315T2009_0260,명,460,Person,소재지(시군구)별,By Administrative District,인구현황별,By Population of Urban District,209395,A,15315DSH001,15315HJG002013,연제구,전체인구(A),Yeonje-gu,Total Population
도시지역 인구현황(시군구),2019,TX_315_2009_H1001,도시지역 인구현황(시군구),Current Status of Urban Area Population,16315T2009_0260,명,460,Person,소재지(시군구)별,By Administrative District,인구현황별,By Population of Urban District,176148,A,15315DSH001,15315HJG002014,수영구,전체인구(A),Suyeong-gu,Total Population
도시지역 인구현황(시군구),2019,TX_315_2009_H1001,도시지역 인구현황(시군구),Current Status of Urban Area Population,16315T2009_0260,명,460,Person,소재지(시군구)별,By Administrative District,인구현황별,By Population of Urban District,218094,A,15315DSH001,15315HJG002015,사상구,전체인구(A),Sasang-gu,Total Population
도시지역 인구현황(시군구),2019,TX_315_2009_H1001,도시지역 인구현황(시군구),Current Status of Urban Area Population,16315T2009_0260,명,460,Person,소재지(시군구)별,By Administrative District,인구현황별,By Population of Urban District,164716,A,15315DSH001,15315HJG002016,기장군,전체인구(A),Gijang-gun,Total Population
도시지역 인구현황(시군구),2019,TX_315_2009_H1001,도시지역 인구현황(시군구),Current Status of Urban Area Population,16315T2009_0260,명,460,Person,소재지(시군구)별,By Administrative District,인구현황별,By Population of Urban District,2438031,A,15315DSH001,15315HJG003,대구광역시,전체인구(A),Daegu,Total Population
도시지역 인구현황(시군구),2019,TX_315_2009_H1001,도시지역 인구현황(시군구),Current Status of Urban Area Population,16315T2009_0260,명,460,Person,소재지(시군구)별,By Administrative District,인구현황별,By Population of Urban District,77421,A,15315DSH001,15315HJG003003,중구,전체인구(A),Jung-gu,Total Population
도시지역 인구현황(시군구),2019,TX_315_2009_H1001,도시지역 인구현황(시군구),Current Status of Urban Area Population,16315T2009_0260,명,460,Person,소재지(시군구)별,By Administrative District,인구현황별,By Population of Urban District,345469,A,15315DSH001,15315HJG003004,동구,전체인구(A),dong-gu,Total Population
도시지역 인구현황(시군구),2019,TX_315_2009_H1001,도시지역 인구현황(시군구),Current Status of Urban Area Population,16315T2009_0260,명,460,Person,소재지(시군구)별,By Administrative District,인구현황별,By Population of Urban District,175277,A,15315DSH001,15315HJG003005,서구,전체인구(A),Seo-gu,Total Population
도시지역 인구현황(시군구),2019,TX_315_2009_H1001,도시지역 인구현황(시군구),Current Status of Urban Area Population,16315T2009_0260,명,460,Person,소재지(시군구)별,By Administrative District,인구현황별,By Population of Urban District,148113,A,15315DSH001,15315HJG003006,남구,전체인구(A),Nam-gu,Total Population
도시지역 인구현황(시군구),2019,TX_315_2009_H1001,도시지역 인구현황(시군구),Current Status of Urban Area Population,16315T2009_0260,명,460,Person,소재지(시군구)별,By Administrative District,인구현황별,By Population of Urban District,437710,A,15315DSH001,15315HJG003007,북구,전체인구(A),Buk-gu,Total Population
도시지역 인구현황(시군구),2019,TX_315_2009_H1001,도시지역 인구현황(시군구),Current Status of Urban Area Population,16315T2009_0260,명,460,Person,소재지(시군구)별,By Administrative District,인구현황별,By Population of Urban District,428614,A,15315DSH001,15315HJG003008,수성구,전체인구(A),Suseong-gu,Total Population
도시지역 인구현황(시군구),2019,TX_315_2009_H1001,도시지역 인구현황(시군구),Current Status of Urban Area Population,16315T2009_0260,명,460,Person,소재지(시군구)별,By Administrative District,인구현황별,By Population of Urban District,568887,A,15315DSH001,15315HJG003009,달서구,전체인구(A),Dalseo-gu,Total Population
도시지역 인구현황(시군구),2019,TX_315_2009_H1001,도시지역 인구현황(시군구),Current Status of Urban Area Population,16315T2009_0260,명,460,Person,소재지(시군구)별,By Administrative District,인구현황별,By Population of Urban District,256540,A,15315DSH001,15315HJG003010,달성군,전체인구(A),Dalseong-gun,Total Population
도시지역 인구현황(시군구),2019,TX_315_2009_H1001,도시지역 인구현황(시군구),Current Status of Urban Area Population,16315T2009_0260,명,460,Person,소재지(시군구)별,By Administrative District,인구현황별,By Population of Urban District,2957026,A,15315DSH001,15315HJG004,인천광역시,전체인구(A),Incheon,Total Population
도시지역 인구현황(시군구),2019,TX_315_2009_H1001,도시지역 인구현황(시군구),Current Status of Urban Area Population,16315T2009_0260,명,460,Person,소재지(시군구)별,By Administrative District,인구현황별,By Population of Urban District,135135,A,15315DSH001,15315HJG004001,중구,전체인구(A),Jung-gu,Total Population
도시지역 인구현황(시군구),2019,TX_315_2009_H1001,도시지역 인구현황(시군구),Current Status of Urban Area Population,16315T2009_0260,명,460,Person,소재지(시군구)별,By Administrative District,인구현황별,By Population of Urban District,64427,A,15315DSH001,15315HJG004002,동구,전체인구(A),dong-gu,Total Population
도시지역 인구현황(시군구),2019,TX_315_2009_H1001,도시지역 인구현황(시군구),Current Status of Urban Area Population,16315T2009_0260,명,460,Person,소재지(시군구)별,By Administrative District,인구현황별,By Population of Urban District,366550,A,15315DSH001,15315HJG004004,연수구,전체인구(A),Yeonsu-gu,Total Population
도시지역 인구현황(시군구),2019,TX_315_2009_H1001,도시지역 인구현황(시군구),Current Status of Urban Area Population,16315T2009_0260,명,460,Person,소재지(시군구)별,By Administrative District,인구현황별,By Population of Urban District,532704,A,15315DSH001,15315HJG004005,남동구,전체인구(A),Namdong-gu,Total Population
도시지역 인구현황(시군구),2019,TX_315_2009_H1001,도시지역 인구현황(시군구),Current Status of Urban Area Population,16315T2009_0260,명,460,Person,소재지(시군구)별,By Administrative District,인구현황별,By Population of Urban District,511577,A,15315DSH001,15315HJG004006,부평구,전체인구(A),Bupyeong-gu,Total Population
도시지역 인구현황(시군구),2019,TX_315_2009_H1001,도시지역 인구현황(시군구),Current Status of Urban Area Population,16315T2009_0260,명,460,Person,소재지(시군구)별,By Administrative District,인구현황별,By Population of Urban District,303471,A,15315DSH001,15315HJG004007,계양구,전체인구(A),Gyeyang-gu,Total Population
