지역,2012,2013,2014,2015,2016,2017,2018,2019,2020
양평군,102193,103620.0,105379.0,108316.0,111367.0,115105.0,116095.0,116874.0,118810.0
강원도,1538630,1542263.0,1544442.0,1549507.0,1550806.0,1550142.0,1543052.0,1541502.0,1542840.0
춘천시,273364,274455.0,275791.0,277997.0,280707.0,280514.0,280640.0,281291.0,282765.0
원주시,323885,324837.0,327292.0,332995.0,337979.0,341337.0,344070.0,349215.0,354376.0
강릉시,217741,216806.0,215807.0,214560.0,213846.0,213952.0,212957.0,213442.0,213321.0
동해시,93897,95143.0,94562.0,93895.0,93297.0,92851.0,91272.0,90522.0,90593.0
태백시,49493,48794.0,48258.0,47501.0,47070.0,45888.0,44858.0,43866.0,42719.0
속초시,83579,83109.0,82432.0,81992.0,81793.0,82273.0,81682.0,81786.0,82665.0
삼척시,72463,73023.0,72314.0,70839.0,69599.0,68514.0,68326.0,67228.0,65243.0
홍천군,69727,70638.0,70451.0,70336.0,70076.0,70340.0,69949.0,69150.0,69242.0
횡성군,44615,44937.0,45373.0,45777.0,45991.0,46281.0,46726.0,46575.0,46472.0
영월군,40155,40150.0,40191.0,40216.0,40073.0,40067.0,39730.0,39127.0,38662.0
평창군,43627,43666.0,43660.0,43500.0,43318.0,43092.0,42610.0,42106.0,41681.0
정선군,39915,39985.0,39425.0,39197.0,38718.0,38173.0,37700.0,37271.0,36870.0
철원군,47968,47473.0,47590.0,48799.0,48013.0,47185.0,46413.0,45584.0,44699.0
화천군,25020,25079.0,27143.0,27020.0,26264.0,26022.0,25084.0,24917.0,24857.0
양구군,22799,23594.0,23888.0,24089.0,24010.0,23835.0,23408.0,22764.0,22278.0
인제군,32456,32517.0,32475.0,33255.0,32720.0,32582.0,32136.0,31672.0,31694.0
고성군,30124,30398.0,30269.0,30060.0,30114.0,30029.0,28144.0,27260.0,26757.0
양양군,27802,27659.0,27521.0,27479.0,27218.0,27207.0,27347.0,27726.0,27946.0
충청북도,1565628,1572732.0,1578933.0,1583952.0,1591625.0,1594432.0,1599252.0,1600007.0,1600837.0
청주시,666852,672904.0,831521.0,831912.0,835197.0,835590.0,837749.0,839566.0,844993.0
충주시,208447,208115.0,208527.0,207913.0,208350.0,208316.0,210504.0,210737.0,210186.0
제천시,137521,137204.0,136805.0,136138.0,136517.0,136432.0,135386.0,134617.0,133018.0
청원군,154780,155002.0,,,,,,,
보은군,34438,34318.0,34240.0,34296.0,34221.0,34053.0,33680.0,32949.0,32412.0
옥천군,53244,52763.0,52469.0,52404.0,52267.0,51766.0,51465.0,51023.0,50527.0
영동군,50663,50539.0,50803.0,50693.0,50552.0,50240.0,49715.0,48738.0,47475.0
진천군,63458,64606.0,65174.0,67981.0,69950.0,73677.0,78218.0,81084.0,83718.0
괴산군,37713,38059.0,38351.0,38787.0,38973.0,39054.0,39133.0,39163.0,39393.0
음성군,92980,93505.0,95324.0,96396.0,97787.0,97306.0,95830.0,94982.0,93153.0
단양군,31253,31171.0,30948.0,30761.0,30503.0,30215.0,30255.0,29756.0,29155.0
증평군,34279,34546.0,34771.0,36671.0,37308.0,37783.0,37317.0,37392.0,36807.0
충청남도,2028777,2047631.0,2062273.0,2077649.0,2096727.0,2116770.0,2126282.0,2123709.0,2121029.0
천안시,581988,591089.0,598346.0,605776.0,617955.0,631531.0,646075.0,652258.0,658808.0
공주시,117298,116369.0,113621.0,111261.0,109931.0,108432.0,107581.0,106474.0,104545.0
보령시,105559,104938.0,104321.0,104754.0,103873.0,103198.0,101990.0,101114.0,100229.0
아산시,280490,287073.0,293954.0,297737.0,302929.0,311453.0,312822.0,314395.0,316129.0
서산시,163315,165837.0,167611.0,170099.0,170788.0,171678.0,174162.0,174690.0,175591.0
논산시,126653,125844.0,124784.0,124232.0,123213.0,122240.0,120230.0,118842.0,116675.0
계룡시,41550,40957.0,40552.0,41730.0,42634.0,43967.0,43731.0,42971.0,42822.0
금산군,55715,55441.0,55166.0,54879.0,54612.0,53894.0,53222.0,52257.0,51413.0
부여군,73259,72547.0,71754.0,71143.0,70187.0,69086.0,68078.0,66740.0,65354.0
서천군,58920,58441.0,57713.0,56910.0,56012.0,55175.0,53922.0,52805.0,51866.0
청양군,32087,32155.0,32248.0,32485.0,32753.0,32837.0,32296.0,31717.0,30948.0
홍성군,88415,89704.0,91866.0,94553.0,99971.0,101570.0,101082.0,100423.0,100102.0
예산군,85876,85205.0,84919.0,83484.0,81339.0,80338.0,80083.0,79238.0,78084.0
태안군,62548,62416.0,62574.0,63484.0,63900.0,63932.0,63238.0,62743.0,62214.0
당진시,155104,159615.0,162844.0,165122.0,166630.0,167439.0,167770.0,167042.0,166249.0
전라북도,1873341,1872965.0,1871560.0,1869711.0,1864791.0,1854607.0,1836832.0,1818917.0,1804104.0
전주시,648863,650082.0,652877.0,652282.0,651744.0,648964.0,651091.0,654394.0,657432.0
군산시,278341,278319.0,278098.0,278398.0,277551.0,274997.0,272645.0,270131.0,267859.0
익산시,306469,306539.0,304117.0,302061.0,300479.0,300187.0,294062.0,287771.0,282276.0
정읍시,119392,118328.0,117183.0,115977.0,115173.0,113776.0,112169.0,110541.0,108508.0
남원시,87000,86460.0,85643.0,84856.0,84188.0,83281.0,82554.0,81441.0,80662.0
김제시,92317,91218.0,90108.0,88721.0,87782.0,86926.0,85331.0,83895.0,82450.0
완주군,86164,86978.0,90377.0,95303.0,95480.0,95975.0,94444.0,92220.0,91609.0
진안군,26963,26703.0,26474.0,26203.0,26069.0,26271.0,25963.0,25697.0,25394.0
무주군,25321,25398.0,25390.0,25220.0,24949.0,24809.0,24589.0,24303.0,24036.0
장수군,23191,23243.0,23335.0,23277.0,23628.0,23003.0,23221.0,22441.0,22085.0
임실군,29956,29739.0,29966.0,30271.0,30197.0,30162.0,30072.0,28902.0,27314.0
순창군,30055,30272.0,30368.0,30248.0,29949.0,29698.0,29209.0,28382.0,27810.0
고창군,60440,60522.0,60090.0,60046.0,60597.0,60472.0,57041.0,55504.0,54529.0
부안군,58869,59164.0,57534.0,56848.0,57005.0,56086.0,54441.0,53295.0,52140.0
전라남도,1909618,1907172.0,1905780.0,1908996.0,1903914.0,1896424.0,1882970.0,1868745.0,1851549.0
목포시,245073,240936.0,239109.0,238382.0,237739.0,234379.0,232327.0,229861.0,224044.0
여수시,292217,291366.0,290900.0,290168.0,288988.0,286382.0,283300.0,282786.0,280242.0
순천시,273798,275668.0,277188.0,278765.0,278548.0,279331.0,279389.0,279598.0,282189.0
나주시,88067,87754.0,90669.0,98182.0,104376.0,110110.0,113839.0,114664.0,115613.0
