지역,2012,2013,2014,2015,2016,2017,2018,2019
철원군,1827,1831,1790.281,1790.281,1927.861,2417.38,1116.0,1073.0
화천군,343,466,473.3,473.3,2871.5,556.0,616.0,333.0
양구군,735,743,1439.32,1439.32,1968.32,2041.32,1727.0,935.0
인제군,3830,5937,16108.049,16108.049,3086.74444,1530.1,200.0,1162.0
고성군,1207,1798,1707.0,1707.0,1332.595,1246.1,1433.0,1256.0
양양군,6811,2289,6299.22,6299.22,3602.04,2108.18,2108.0,2837.0
충청북도,277435,289227,280998.717874035,280998.717874035,322073.070165333,439130.65,360448.0,315165.0
청주시상당구,476,595,1380.1927,1380.1927,1015.3397,1128.69,134.0,617.0
청주시흥덕구,77495,80585,150332.7027,150332.7027,178839.6972,253988.36,191042.0,182354.0
충주시,14517,16401,16572.98,16572.98,19185.9413333333,21481.49,23320.0,14867.0
제천시,6186,10166,5551.0981,5551.0981,12557.0158333333,8636.47,8637.0,8023.0
청원군,110465,114173,36216.1862,36216.1862,,,,
보은군,4603,4258,4641.53,4641.53,4841.96,2981.0,2571.0,2247.0
옥천군,4280,3188,3434.346,3434.346,3513.12964,3448.22,2531.0,2439.0
영동군,1412,1855,2108.57286,2108.57286,2120.28046,2996.73,2559.0,1498.0
증평군,5859,5418,6019.376,6019.376,6478.064,8512.38,8360.0,7906.0
진천군,19454,18855,23278.149366667,23278.149366667,20243.9232333333,36124.07,31266.0,26602.0
괴산군,6350,6754,5996.778,5996.778,6401.2683,4920.53,8210.0,4621.0
음성군,25023,25702,24189.425947368,24189.425947368,32581.1743333333,33823.81,38664.0,36905.0
단양군,1315,1277,1277.38,1277.38,1725.37,12056.61,8492.0,1496.0
충청남도,591368,790887,698834.009361842,698834.009361842,481104.51066,591194.34,545770.0,659383.0
천안시동남구,13448,14375,15658.762,15658.762,15965.861,18677.89,46549.0,22214.0
천안시서북구,146151,148689,146457.85305,146457.85305,47128.11355,84745.5399999999,69858.0,48260.0
공주시,6279,7297,5881.669,5881.669,31629.036,4631.1,5187.0,5492.0
보령시,4855,8895,7714.815,7714.815,17721.635,14710.12,19498.0,15260.0
아산시,229494,393413,250049.0419,250049.0419,169033.39751,185590.2,211471.0,213887.0
서산시,61712,65213,62453.6448,62453.6448,51847.806,71059.92,60954.0,95550.0
논산시,4357,5290,5256.88,5256.88,4850.72,6807.87,6107.0,6467.0
계룡시,316,662,744.01,744.01,506.7316,784.35,75.0,630.0
금산군,6007,6839,8076.61,8076.61,6929.34,14471.79,11510.0,15037.0
부여군,8278,8063,6804.39,6804.39,9316.48,10643.91,9423.0,7615.0
서천군,20431,21500,40699.337,40699.337,20940.3,22472.57,23874.0,26209.0
청양군,2273,2362,2140.9,2140.9,3266.68,4728.98,4091.0,2531.0
홍성군,3567,3567,4726.32,4726.32,4676.75,3013.0,2907.0,4198.0
예산군,6882,5719,4225.48,4225.48,7198.91,9272.2,2970.0,5428.0
태안군,13325,13320,10513.3,10513.3,3577.9,2745.0,797.0,13305.0
당진시,63994,85685,127430.996611842,127430.996611842,86514.85,136839.9,70498.0,177299.0
전라북도,272504,264436,280232.193889587,280232.193889587,278227.706900001,310122.54,279560.0,299727.0
전주시완산구,3284,1656,1683.165,1683.165,1719.338,1585.08,1506.0,1601.0
전주시덕진구,66307,68354,68317.625,68317.625,75519.948,75086.09,63683.0,69250.0
군산시,66268,63843,67436.49964,67436.49964,64707.81,86415.73,72324.0,74360.0
익산시,45169,45903,55572.7062495867,55572.7062495867,47152.819,59570.99,37500.0,48798.0
정읍시,11472,8775,10185.157,13196.61,13435.394,18558.53,34531.0,34812.0
남원시,11417,13530,13196.61,10637.663,12194.6,12247.43,12959.0,11362.0
김제시,9199,9033,10637.663,,11183.794,7889.57,7468.0,11544.0
완주군,47936,31402,36061.151,36061.151,34156.75,32907.01,33961.0,33634.0
진안군,1105,1039,1093.325,1093.325,1094.6,638.9,627.0,766.0
무주군,861,861,315.9,315.9,454.6,256.5,290.0,280.0
장수군,1210,1360,398.23,398.23,357.13,324.5,430.0,189.0
임실군,2391,6002,2367.986,2367.986,6036.8989,1883.99,1999.0,1990.0
순창군,668,1223,1110.556,1110.556,986.17,1676.1,2102.0,1341.0
고창군,3646,3176,3284.03,3284.03,4212.405,6052.59,5229.0,4865.0
부안군,1570,8280,8571.59,8571.59,5015.45,5029.53,4952.0,4935.0
전라남도,392568,373072,370363.204,370363.204,371486.252666666,411099.62,238859.0,441556.0
목포시,3224,3010,3004.68,3004.68,2321.583,3776.63,3730.0,3253.0
여수시,114934,118790,117934.454,117934.454,97156.24,123109.92,116470.0,150344.0
순천시,15077,12760,12327.61,12327.61,18306.814,8584.75,10010.0,11784.0
나주시,7040,6458,6853.92,6853.92,6384.808,10677.3,7933.0,8723.0
광양시,203030,183493,181137.977,181137.977,189062.438,198832.32,44900.0,196591.0
담양군,7410,7205,7864.71,7864.71,8626.979,15650.5,8048.0,7814.0
곡성군,984,969,799.048,799.048,1201.416,840.42,892.0,774.0
구례군,575,395,664.375,664.375,592.65,970.85,988.0,1051.0
고흥군,1657,1629,1124.28,1124.28,1075.4,1075.4,1075.0,2374.0
보성군,585,316,315.516,315.516,687.31,421.58,473.0,505.0
화순군,14228,14487,14670.11,14670.11,17202.574,11150.23,5569.0,9973.0
장흥군,164,1501,2512.7,2512.7,3054.83,7645.0,10760.0,11587.0
강진군,1407,860,1000.96,1000.96,1516.9,2772.05,2530.0,1792.0
해남군,727,730,631.4,631.4,880.3,149.0,2544.0,2144.0
영암군,10337,9804,9472.89,9472.89,10135.504,10899.77,10774.0,16342.0
무안군,391,400,485.91,485.91,621.54,2076.13,2122.0,2487.0
함평군,1689,1727,1126.2,1126.2,2389.995,2739.81,510.0,3168.0
영광군,3173,3259,3300.44,3300.44,3054.418,4927.81,3181.0,4121.0
장성군,4628,3929,3658.3,3658.3,5444.0876666667,2721.75,4327.0,4489.0
완도군,856,923,982.25,982.25,731.61,745.7,739.0,972.0
진도군,324,298,369.474,369.474,568.956,881.8,844.0,857.0
신안군,129,129,126.0,126.0,469.9,450.9,440.0,413.0
경상북도,1139913,718089,593786.731121213,593786.731121213,512813.586551318,570172.53,502128.0,567483.0
포항시남구,752178,341958,224505.43,224505.43,176962.155,201700.03,158132.0,202196.0
포항시북구,3990,2398,2333.3846,2333.3846,2874.3546,2804.23,3441.0,4365.0
경주시,54368,59014,53976.915,53976.915,34215.6604414369,38354.05,18645.0,16497.0
김천시,18801,20586,19601.262,19601.262,4080.496,23545.94,22856.0,23471.0
안동시,4149,4293,4157.113,4157.113,5687.2585,4665.83,3577.0,13160.0
구미시,220471,203502,206515.0459,206515.0459,202587.590333333,205580.36,179475.0,198753.0
영주시,4520,5497,4762.14,4762.14,9445.11,9736.65,11584.0,7031.0
영천시,7228,7499,5870.601,5870.601,7976.261,6577.39,5990.0,5481.0
상주시,5590,4498,4388.07,4388.07,4578.25,9783.99,9914.0,5756.0
문경시,3702,3717,3697.341,3697.341,1229.991,3796.39,3241.0,2190.0
경산시,12981,12945,12725.147121212,12725.147121212,10555.7915354839,12411.7,9951.0,10578.0
군위군,3513,4464,4623.35,4623.35,2964.4,3761.0,4801.0,4657.0
의성군,864,864,952.256,952.256,410.395,631.11,1873.0,448.0
청송군,4197,1065,428.6,428.6,231.603,290.6,231.0,495.0
영양군,82,82,72.2225,72.2225,49.8,131.6,109.0,117.0
영덕군,2723,2653,2595.5,2595.5,1931.6,2177.8,1941.0,2456.0
청도군,1699,2181,2587.12,2587.12,2051.06,1582.23,1313.0,1105.0
고령군,6380,7026,7469.142,7469.142,8279.511,8369.27,5221.0,8731.0
성주군,5208,8664,8026.61,8026.61,8468.1976666667,8713.77,12706.0,7789.0
칠곡군,15525,16281,16665.501,16665.501,16579.4514743987,13956.8,37032.0,42384.0
예천군,1036,1126,1139.3,1139.3,789.0,652.29,656.0,1218.0
봉화군,4890,1907,1469.67,1469.67,2100.45,2072.45,2076.0,3257.0
울진군,5734,5766,4934.01,4934.01,8165.4,8157.3,6775.0,5286.0
울릉군,85,105,291.0,291.0,599.8,719.75,588.0,60.0
경상남도,213020,227960,269076.733828879,269076.733828879,211108.266849262,225534.7,204906.0,193422.0
진주시,16851,20770,20920.2366,20920.2366,30337.4074166667,39968.25,36424.0,23796.0
통영시,1236,1235,1236.28,1236.28,1425.46,1464.68,891.0,2896.0
사천시,5827,6575,7358.2311,7358.2311,6018.7092916667,6938.63,9727.0,6319.0
김해시,15536,12982,44588.88102,44588.88102,26923.7299666666,15703.7,20989.0,23116.0
밀양시,3828,3610,3549.3121,3549.3121,4182.1588,5941.03,6850.0,6607.0
거제시,1391,6714,6757.84,6757.84,3214.214,2465.73,1487.0,1812.0
양산시,48320,51549,52108.7882605789,52108.7882605789,39435.80555,47550.7,37996.0,33060.0
의령군,3426,3048,3841.6801,3841.6801,3319.927,3092.63,2905.0,2722.0
함안군,42809,49671,49144.837,49144.837,23456.9620999999,27569.69,22689.0,22009.0
창녕군,3037,1624,1790.64,1790.64,1613.64,6145.7,1555.0,3137.0
남해군,654,333,322.85,322.85,276.65,309.75,17.0,298.0
하동군,9696,11637,15143.53,15143.53,10146.02,9348.78,7911.0,1027.0
산청군,2239,1624,423.48,423.48,1463.8056,1747.23,4.0,1978.0
함양군,2958,1594,1601.07,1601.07,2267.88,2038.99,3358.0,1402.0
거창군,7150,7232,4587.568,4587.568,4811.231,4818.97,7217.0,6702.0
합천군,2338,2337,2223.29,2223.29,2294.44,2398.2,2634.0,6759.0
창원시성산구,21581,20197,25666.0490483,25666.0490483,25157.5552113503,24426.59,24216.0,26961.0
창원시의창구,7669,6193,6866.066,6866.066,8089.0,7339.52,8832.0,7972.0
창원시진해구,5317,7796,9013.746,9013.746,6517.3096109589,5513.95,498.0,3310.0
창원시마산합포구,862,954,807.5046,807.5046,590.4138333333,800.34,793.0,541.0
창원시마산회원구,7082,7022,6625.084,6625.084,6193.3574686192,5366.81,4640.0,6385.0
제주특별자치도,8638,8282,9050.166,9050.166,11875.706,16119.08,5593.0,11459.0
제주시,2934,5811,6468.12,6468.12,7595.32,12386.2,2891.0,6139.0
서귀포시,5704,2472,2582.046,2582.046,4280.386,3732.88,2702.0,5320.0
