지역,2012,2013,2014,2015,2016,2017,2018,2019,2020
청원군,786701322,786578584.0,,,,,,,
보은군,584480000,584480000.0,584477023.0,584477023.0,584473392.0,584473392.0,584473392.0,584473392.0,584473406.0
옥천군,537106066,537106066.0,537106066.0,537106066.0,537106066.0,537106066.0,537106066.0,537106066.0,537106066.0
영동군,844985000,844985000.0,844985000.0,844985000.0,844985000.0,844985000.0,844985000.0,844985000.0,844985000.0
진천군,406231748,406231748.0,406231748.0,406233037.0,407665328.0,407663080.0,408140826.0,408140826.0,408125479.0
괴산군,841929000,841929000.0,841929000.0,841929000.0,841929000.0,841929000.0,841929000.0,841929000.0,841929000.0
음성군,518538390,518538390.0,519381531.0,519416374.0,519304611.0,519937060.0,520318422.0,519817615.0,519858937.0
단양군,781040154,781040154.0,781040154.0,781040154.0,781040154.0,781040154.0,781040154.0,781040154.0,781040154.0
증평군,81832000,81832000.0,81832100.0,81832100.0,81831540.0,81831439.0,81831439.0,81831439.0,81831439.0
충청남도,8769681694,8761693850.0,8762137099.0,8762396409.0,8762424717.0,8773628694.0,8744145763.0,8752056851.0,8752184916.0
천안시,636250782,636262492.0,636248401.0,636072476.0,636072477.0,636072477.0,636072353.0,636072935.0,636079770.0
공주시,863538714,864284712.0,864285529.0,864285529.0,864285529.0,864285529.0,864285529.0,864285524.0,864285529.0
보령시,601019663,601505060.0,601923551.0,601339987.0,601424319.0,601424319.0,601424319.0,601424319.0,601556393.0
아산시,542305000,542305000.0,542304999.0,542303999.0,542305000.0,542304766.0,542399989.0,542399989.0,542399989.0
서산시,804467953,803508804.0,803508804.0,803520092.0,803513000.0,803482103.0,803492597.0,803492597.0,803481512.0
논산시,554842930,554842931.0,554842930.0,554842929.0,554842929.0,554842928.0,554842928.0,554842928.0,554842928.0
계룡시,60681981,60681981.0,60701882.0,60701882.0,60701774.0,60701774.0,60700949.0,60705722.0,60705722.0
금산군,576292852,576292852.0,576292852.0,576292852.0,576292852.0,576292852.0,576292852.0,576292852.0,576292852.0
부여군,624497495,624497495.0,624497494.0,624498094.0,624498094.0,624498094.0,624346444.0,624497495.0,624497495.0
서천군,358049184,358197759.0,358197759.0,358831849.0,358831849.0,358831849.0,358831849.0,366640104.0,366640822.0
청양군,479632611,479632611.0,479632611.0,479632611.0,479632611.0,479632611.0,479632611.0,479632611.0,479632611.0
홍성군,473392661,473390350.0,473390350.0,473390350.0,473390350.0,473389402.0,444001402.0,443706926.0,443706926.0
예산군,542270341,542326215.0,542344349.0,542344349.0,542294523.0,542315855.0,542267808.0,542267808.0,542267810.0
태안군,935324973,935332095.0,935332095.0,935332095.0,935332095.0,946587579.0,946587579.0,946588261.0,946588261.0
당진시,717114554,708633493.0,708633493.0,709007315.0,709007315.0,708966556.0,708966554.0,709206780.0,709206296.0
전라북도,8127892970,8130119968.0,8130119968.0,8130984675.0,8131207205.0,8131246247.0,8131325866.0,8130927656.0,8129870327.0
전주시,206276300,206276300.0,206276300.0,206276300.0,206276300.0,206276300.0,206276300.0,205878090.0,205878090.0
군산시,456524971,456524971.0,456524971.0,456524971.0,456524971.0,456524971.0,456604590.0,456604590.0,456604590.0
익산시,506925496,506925496.0,506925496.0,506925496.0,506925496.0,506925496.0,506925496.0,506925496.0,506925496.0
정읍시,692810652,692810652.0,692810652.0,692810652.0,692810652.0,692810652.0,692810652.0,692810652.0,692810652.0
남원시,752810000,752775325.0,752775325.0,752775325.0,752775325.0,752810000.0,752810000.0,752810000.0,752810000.0
김제시,545023733,545023733.0,545023733.0,545023733.0,545023733.0,545023733.0,545023733.0,545023733.0,545023733.0
완주군,822444978,822224494.0,822224494.0,822224494.0,822224494.0,822224494.0,822224494.0,822224494.0,821322675.0
진안군,789069197,789069197.0,789069197.0,789069197.0,789069197.0,789069197.0,789069197.0,789069197.0,789069197.0
무주군,631679000,631679000.0,631679000.0,631679000.0,631679000.0,631679000.0,631679000.0,631679000.0,631679000.0
장수군,533646225,533646225.0,533646225.0,533646225.0,533646225.0,533646225.0,533646225.0,533646225.0,533646225.0
임실군,596876000,596876000.0,596876000.0,596876000.0,597098530.0,597098530.0,597098530.0,597098530.0,596898907.0
순창군,495698000,495698000.0,495698000.0,495698000.0,495698000.0,495702367.0,495702367.0,495702367.0,495702367.0
고창군,605892211,606874399.0,606874399.0,607739106.0,607739106.0,607739106.0,607739106.0,607739106.0,607783219.0
부안군,492216207,493716176.0,493716176.0,493716176.0,493716176.0,493716176.0,493716176.0,493716176.0,493716176.0
전라남도,15369828512,15369831914.0,15371237322.0,15318243438.0,15316001073.0,15348073510.0,15434213816.0,15440601219.0,15440377821.0
목포시,112490000,112487667.0,112490000.0,112490000.0,112490000.0,112490000.0,112490000.0,112490000.0,112490000.0
여수시,1024816218,1024816161.0,1024815651.0,1024815651.0,1024815651.0,1025637851.0,1025637851.0,1025637851.0,1025637851.0
순천시,935731067,935731067.0,935731067.0,935731067.0,935731067.0,935731067.0,935731067.0,936066208.0,936066208.0
나주시,608622754,608622754.0,608622754.0,604073078.0,604073078.0,604073078.0,604073078.0,608543339.0,608543339.0
광양시,497647000,497647000.0,497647000.0,497658965.0,497647000.0,497647000.0,497647000.0,497647000.0,497647000.0
담양군,455002085,455002085.0,455002085.0,455884602.0,455884602.0,455884602.0,455884602.0,455884602.0,455002085.0
곡성군,548420700,548420700.0,548420700.0,548420700.0,548420700.0,548420700.0,548420700.0,548420700.0,548420700.0
구례군,443137220,443137220.0,443137220.0,443137220.0,443137220.0,443137220.0,443137220.0,443137220.0,443137220.0
고흥군,1179465906,1179465906.0,1179465906.0,1179465906.0,1179465906.0,1210716143.0,1210716143.0,1210716143.0,1210716143.0
보성군,743525968,743525968.0,743525968.0,743525968.0,743525968.0,743525968.0,743525968.0,743525968.0,743883399.0
화순군,786840717,786840717.0,786840717.0,786840717.0,786840717.0,786840717.0,786840717.0,786840717.0,786840717.0
장흥군,649319500,649319500.0,649319500.0,649319500.0,649319500.0,649319500.0,653629738.0,653629738.0,653597276.0
강진군,563223000,563223000.0,564223000.0,563223000.0,563223000.0,563223000.0,563223000.0,563223000.0,563223000.0
해남군,963831716,963831716.0,963831716.0,963831716.0,963831716.0,963831716.0,1045295728.0,1045295728.0,1045235518.0
영암군,630799300,630799300.0,630799300.0,630799300.0,630799300.0,630799300.0,630799300.0,630799300.0,630799300.0
무안군,533302507,533302507.0,533302507.0,484927716.0,484921716.0,484921716.0,485153836.0,485153836.0,485153836.0
함평군,425671862,425671862.0,426075447.0,426075447.0,426075447.0,426075447.0,426075448.0,426075455.0,426075455.0
영광군,554623163,554628955.0,554628955.0,554628955.0,554628955.0,554628955.0,554628955.0,554628955.0,554628955.0
장성군,518581000,518581000.0,518581000.0,518581000.0,518581000.0,518581000.0,518581000.0,518581000.0,518581000.0
완도군,1079716987,1079716987.0,1079716987.0,1079716987.0,1079716987.0,1079716987.0,1079850922.0,1079850262.0,1079850262.0
진도군,994064442,994064442.0,994064442.0,994064442.0,994064442.0,994064442.0,994064442.0,994064442.0,994458802.0
신안군,1120995400,1120995400.0,1120995400.0,1121031501.0,1118807101.0,1118807101.0,1118807101.0,1120389755.0,1120389755.0
경상북도,19129424956,19129418440.0,19128719138.0,19128584902.0,19128633408.0,19128663706.0,19128677357.0,19128667508.0,19128671308.0
포항시,1224857914,1224860552.0,1224862916.0,1224862916.0,1224862916.0,1224864455.0,1224873255.0,1224891598.0,1224894222.0
경주시,1325056891,1325056858.0,1325056858.0,1325057442.0,1325048948.0,1325048940.0,1325058523.0,1325067024.0,1325067024.0
김천시,1009090000,1009090000.0,1009090000.0,1009090000.0,1009090000.0,1009090000.0,1009090000.0,1009090000.0,1009090000.0
안동시,1520910000,1520910000.0,1520910001.0,1520912494.0,1520912494.0,1520912494.0,1520907762.0,1520912494.0,1520912492.0
구미시,616251000,616251000.0,615546000.0,615549000.0,615546000.0,615546000.0,615546000.0,615546000.0,615547468.0
영주시,668870000,668870000.0,668870000.0,668870000.0,668870000.0,668870000.0,668870000.0,668868719.0,668870000.0
영천시,919944000,919944000.0,919944000.0,919944000.0,919944000.0,919944000.0,919944000.0,919944000.0,919944000.0
상주시,1254863414,1254863414.0,1254863414.0,1254863414.0,1254863414.0,1254863414.0,1254863414.0,1254863414.0,1254863414.0
문경시,912082093,912082093.0,912082093.0,912082093.0,912082093.0,912082093.0,912082093.0,912082093.0,912082093.0
경산시,411815238,411815238.0,411815238.0,411815238.0,411815238.0,411815238.0,411815238.0,411770693.0,411770693.0
군위군,614152000,614152000.0,614152000.0,614152000.0,614152000.0,614147602.0,614147602.0,614152000.0,614152000.0
