지역,2012,2013,2014,2015,2016,2017,2018,2019
여수시,24.5,23.2,23.5,20.2,21.6,20.8,20.6,18.8
영광군,24.3,22.8,24.9,19.0,18.5,19.7,21.7,19.8
영암군,24.0,20.8,21.8,19.5,21.6,20.0,19.8,21.2
완도군,21.3,21.0,23.2,23.3,20.8,20.4,22.7,21.9
장성군,22.1,24.4,20.6,20.1,17.2,18.2,18.5,17.3
장흥군,18.8,21.6,19.5,18.2,18.9,17.7,14.5,17.5
진도군,19.9,20.1,18.6,20.2,19.5,15.4,19.3,19.8
함평군,22.8,24.7,23.1,18.5,19.3,15.4,16.4,16.0
해남군,18.7,20.1,18.6,18.0,17.8,18.0,17.5,18.2
화순군,22.1,22.3,20.8,22.7,19.6,17.8,19.4,16.6
경상북도,24.3,23.1,23.1,22.0,22.4,20.9,21.4,19.6
경산시,23.3,22.1,24.0,21.2,24.7,22.9,22.0,18.6
경주시,20.8,21.3,23.3,23.7,22.3,20.1,21.5,18.2
고령군,25.4,22.7,20.7,22.0,24.7,19.9,22.0,23.0
구미시,27.9,25.4,26.1,25.3,26.5,23.8,25.0,22.6
군위군,24.4,21.8,24.2,22.2,18.8,21.4,21.2,20.4
김천시,24.8,23.6,22.1,20.4,23.3,19.6,22.1,19.5
문경시,22.4,23.2,24.0,20.1,20.1,20.7,20.2,16.9
봉화군,21.0,24.5,22.9,23.1,19.2,21.4,19.5,20.8
상주시,22.1,22.2,20.7,19.5,18.2,20.4,19.7,17.3
성주군,26.7,23.7,25.5,20.2,25.1,20.4,23.8,21.2
안동시,23.5,22.1,21.7,18.4,20.4,19.0,19.3,16.0
영덕군,21.1,19.1,18.9,14.8,16.7,14.8,17.5,15.9
영양군,21.8,23.0,18.4,20.2,14.7,20.3,16.4,17.1
영주시,23.5,22.1,24.0,22.8,20.3,18.0,18.7,18.8
영천시,24.8,25.9,23.3,21.3,21.8,23.7,24.5,21.8
예천군,25.0,20.6,22.8,18.8,18.1,16.9,18.4,15.1
울릉군,24.8,22.6,26.2,23.7,22.4,22.9,23.5,26.1
울진군,21.0,20.9,17.9,20.5,18.5,17.7,16.9,17.1
의성군,20.5,20.8,21.4,23.1,19.6,20.7,16.9,19.2
청도군,21.5,18.1,20.9,19.8,20.0,19.5,16.6,16.3
청송군,21.2,21.2,21.8,18.8,16.7,21.0,19.6,15.7
칠곡군,27.8,27.7,25.8,28.4,28.0,22.2,23.8,24.9
포항시,25.5,23.1,21.9,21.6,21.6,20.5,20.8,20.1
경상남도,23.7,23.0,23.6,20.7,21.0,20.5,19.9,18.2
거제시,27.0,28.8,26.3,24.4,24.5,24.3,22.2,17.6
거창군,22.4,21.7,21.4,20.4,19.3,17.8,17.8,14.8
김해시,24.6,23.7,26.9,21.7,21.3,19.9,21.0,19.4
남해군,19.9,17.3,20.1,18.9,15.2,17.9,16.2,15.9
창원시,22.5,22.2,23.1,19.6,20.7,20.7,20.6,17.7
밀양시,22.2,20.6,22.4,19.6,19.6,20.5,18.9,17.6
사천시,21.6,25.1,23.1,19.8,23.5,20.3,18.9,16.3
산청군,18.1,21.2,21.8,15.7,15.8,19.9,12.7,16.4
양산시,28.2,23.0,25.8,22.8,24.9,22.9,21.7,19.5
의령군,21.5,19.7,20.4,19.0,20.4,21.1,17.5,15.6
진주시,22.6,21.1,20.4,16.7,18.3,17.4,15.7,17.0
창녕군,22.9,24.1,26.7,20.8,23.4,18.4,18.8,20.8
통영시,26.1,26.7,21.7,24.3,20.8,24.6,23.8,23.4
하동군,22.7,23.6,19.6,20.4,15.8,17.4,16.8,16.4
함안군,22.5,23.3,23.4,25.2,18.5,18.2,18.0,20.8
함양군,20.7,19.0,18.8,19.5,17.9,15.2,17.0,18.4
합천군,23.3,20.8,19.5,23.8,19.9,16.4,20.0,16.8
제주특별자치도,24.9,25.0,23.9,20.8,25.3,22.0,21.3,20.0
서귀포시,25.6,25.6,25.0,22.8,22.7,23.8,21.4,18.3
제주시,24.6,24.8,23.5,20.0,26.3,21.3,21.3,20.7
